chapter_no,heading_1,heading_2,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Article I General Provisions,Section 405.010 Short Title.,sub-sec-1.1,https://ecode360.com/33325819,https://zoneomics.com/code/16248/chapter_1#1.1,False,0,"This
Chapter shall be known and may be cited and referred to as the ""Zoning Ordinance of the City of Leadington, Missouri."""
1,Article I General Provisions,Section 405.020 Definitions.,sub-sec-1.2,https://ecode360.com/33325820,https://zoneomics.com/code/16248/chapter_1#1.2,True,1,"For the purpose of this Chapter, certain terms and words are hereby defined.
Words used in the present tense shall include the future; the singular shall include the plural, and the plural the singular; the word ""building"" shall include the word ""structure""; the word ""shall"" is mandatory, and the word ""may"" is permissive.
100-YEAR STORM Rainstorm of varying duration and intensity having a one percent (1%) probability of recurring in any one
(1) year.
15-YEAR STORM Rainstorms of varying duration and intensity having a six and sixty-seven hundredths percent (6.67%) probability of being equaled or exceeded in any given year.
25-YEAR STORM Rainstorms of varying duration and intensities having a four percent (4%) probability of being equaled or exceeded in any given year.
ACCESSORY BUILDINGS A subordinate building which is incidental to the principal building or use and which is located on the same lot with such principal building or use.
ACCESSORY USE A use incidental to the principal use of a building located on the same lot with the principal building or use.
ADMINISTRATIVE OFFICER The duly elected City Mayor or his/her designated representative.
ADVERSE IMPACT Any modifications, alterations or effects on a feature or characteristic of surface waters, including their quality, quantity, hydrodynamics, surface area, species composition, living resources, aesthetics or usefulness for human or natural uses, which are or may potentially be harmful or injurious to human health, welfare, safety or property, to biological productivity, diversity or stability, or which unreasonably interfere with the enjoyment of life or property, including outdoor recreation.
The term includes secondary and cumulative, as well as direct impacts.
ALLEY A public or private thoroughfare which affords only a secondary means of access to abutting property.
APPLICANT The record owner, or his/her authorized representative, of a tract of land that is the site of development or development activity within the scope of this Article.
APPURTENANCES An attached or detached addition to a mobile home, situated on the mobile home lot for the use of its occupants, such as a carport, garage, storage shed, or items of a similar nature.
BASE FLOOD ELEVATION The elevation at any location delineating high waters having a one percent (1%) probability of being equaled or exceeded in any given year (also known as the one-hundred-year flood).
BASEMENT A story having a part, but not more than one-half (1/2) of its height, below grade.
A basement is counted as a story for the purpose of height regulations if subdivided and used for business or dwelling purposes.
BOARDING HOME A building other than a hotel, where for compensation and by arrangement for definite periods, meals, or lodging and meals, are provided for five
(5) or more persons, but not exceeding twenty
(20) persons.
BOARD OF ALDERMEN The Board of Aldermen of the City of Leadington, Missouri.
BUILDABLE WIDTH The width of the lot left to be built upon after the side yards are provided.
BUILDING Any structure having a roof supported by columns or walls built for the support, or enclosure of persons, animals, chattels, or property of any kind, but not including any vehicle, trailer (with or without wheels), nor any movable device, such as furniture, machinery, or equipment.
When any portion of a building is completely separated from any other portion thereof by a division wall without openings or by a fire wall, then each such portion shall be deemed to be a separate building.
BUILDING, HEIGHT OF The vertical distance from the grade to the highest point of the coping of a flat roof, or the deck line of a mansard roof, or to the mean height level between eaves and the ridge for gable, hip or gambrel roofs.
CAPACITY OF A STORM DRAINAGE FACILITY The maximum ability of a storm drainage facility to convey, detain or retain stormwater flows without causing substantial damage to public or private property and, in the case of a pipe, without surcharging.
CELLAR A story having more than one-half (1/2) of its height below grade.
CHANNEL A natural or artificial open watercourse with definite bed and banks which periodically or continuously contains moving water or which forms a connecting link between two
(2) bodies of water.
CHILD- OR DAY-CARE CENTER Any place, home or institution which receives five
(5) or more children under the age of seventeen
(17) years, and not of common parentage, for care apart from their natural parents, legal guardians or custodians, when received for regular periods of time for compensation; provided, however, this definition shall not include public and private schools organized, operated or approved under the laws of this State; custody of children fixed by a court of competent jurisdiction; children related by blood or marriage within the third degree of the custodial person; or to churches or other religious or public institutions while their parents or legal guardians are attending services, meetings or classes, or are engaged in church activities.
The term ""child- or day-care center"" shall be deemed to include day-care homes and day nurseries as defined by the Missouri Department of Social Services for licensing purposes.
CITY ENGINEER(S) The Engineer(s) or other persons having specialized technical knowledge duly appointed by the Board of Alderman.
COMMERCIAL USE Generally, any business of a commercial nature that has as its primary function the direct sale of goods or services to the general public.
COMMON PROMOTIONAL PLAN A plan, undertaken by one
(1) or more persons, to offer lots for sale or lease; where the land is offered by sale by a person or group of persons acting in a common name or similar names, the land is presumed without regard to the number of lots covered by each individual offering, as being offered for sale or lease as part of a common promotional plan.
COMPREHENSIVE PLAN An official document adopted by the City setting forth a plan for the physical development of the community, including studies of land use, traffic volume and flow, schools, parks, and other public buildings.
CONDUIT Any channel, pipe, guttering, sewer or culvert used for the conveyance or movement of water, whether open or closed.
CONTROL DEVICE An element of a discharge structure which allows the gradual release of water under controlled conditions.
CONTROL ELEVATION Design elevation of a discharge structure at which, or below which, water is contained behind the structure."
1,Article I General Provisions,Section 405.020 Definitions.,sub-sec-1.2,https://ecode360.com/33325820,https://zoneomics.com/code/16248/chapter_1#1.2,True,2,"DETACHED SOLAR POWER SYSTEM Any free-standing installation of solar panels or radiant solar heating system.
DETENTION The delay of storm runoff prior to discharge into receiving waters.
DETENTION BASIN A facility constructed or modified to restrict the discharge of stormwater to a prescribed maximum rate and to concurrently detain the excess waters that accumulate behind the outlet.
A wet-bottom detention basin is a structure designed to retain a permanent pool of water after having provided its planned detention of runoff during a storm event.
A dry-bottom detention basin is designed to be completely dewatered after having provided its planned detention of runoff during a storm event.
DETENTION STORAGE The temporary detaining or storage of stormwater in storage basins, or rooftops, in streets, parking lots, school yards, parks, open space, or other areas under predetermined and controlled conditions, with the rate of drainage therefrom regulated by appropriately installed devices.
DETENTION VOLUME The volume of water equal to the difference between the control elevation of a discharge structure and the maximum level at which water can be accumulated prior to discharge times the average area of open surface storage (between the control elevation and maximum level) behind the discharge structure.
DEVELOPER Any person who, directly or indirectly, sells, leases or offers to sell or lease or advertises for sale or lease any lots in a subdivision, but shall not include any licensed broker or licensed salesman who is not a shareholder, director, officer or employee of a developer and who has no legal or equitable interest in the land.
DIFFERENTIAL RUNOFF The difference in rate and volume of stormwater runoff from a parcel or project in its undeveloped natural condition and its developed condition.
DISCHARGE The causing or permitting of one
(1) or more water contaminants to enter waters of the State.
DISCHARGE STRUCTURE Structural device, usually of concrete, metal, timber, etc., through which water is discharged from a project to the receiving water.
DISTRICT A section or sections of the City of Leadington for which the regulations governing the use of buildings and premises, the height of buildings, the size of yards, and the intensity of the use are uniform.
DRAINAGE AREA The area from which water is carried off by a drainage system; a watershed or catchment area.
DRAINAGE FACILITY An element in a drainage system which includes, but is not limited to, any of the following: conduits and appurtenant features, canals, channels, detention basins, ditches, streams, culverts, streets and pumping stations.
1. Conduits and appurtenant features, canals, channels, detention basins, ditches, streams, culverts, streets and pumping stations.
DRAINAGE SYSTEM The surface or subsurface system which conveys water from or over the land, including all watercourses, water bodies and wetlands (also referred to as the stormwater management system).
DWELLING Any building or portions thereof which is designed and used exclusively for residential purposes.
DWELLING, MULTIPLE A building designed for or occupied exclusively by more than two
(2) families.
DWELLING, SINGLE-FAMILY A building designed for or occupied exclusively by one
(1) family.
""Single-family dwelling"" shall include any home in which eight
(8) or fewer unrelated mentally or physically handicapped persons reside, and may include two
(2) additional persons acting as house parents or guardians who need not be related to each other or to any of the mentally or physically handicapped persons residing in the home.
In the case of any such residential home for mentally or physically handicapped persons, the Planning and Zoning Commission may require that the exterior appearance of the home and property be in reasonable conformance with the general neighborhood standards.
Further, the Planning and Zoning Commission may establish reasonable standards regarding the density of such individual homes in any specific single-family dwelling neighborhood.
DWELLING, TWO-FAMILY A building designed for or occupied exclusively by two
(2) families.
DWELLING UNIT One
(1) or more rooms in a dwelling occupied or intended to be occupied as separate living quarters by a single family as defined herein.
EASEMENT A grant by a property owner to the public, a corporation or a person of the use of land for a specific purpose.
ELECTRIC PARK RECEPTACLE The waterproof attachment receptacle device located adjacent to the water and sewer outlets to receive the flexible cable from the mobile home or, where required, the permanently installed conductors.
ELECTRIC SERVICE DROP That part of the electric distribution system from the main electrical distribution system, overhead or underground to the service equipment serving one
(1) or more mobile home spaces.
ELEVATION Height in feet above mean sea level according to National Geodetic Vertical Datum (NGVD).
EMERGENCY SPILLWAY Saddle or low point facility located around the rim of a dammed impoundment such as a detention or retention basin for providing an efficient and safe means of conveying the maximum design flood discharge through the impoundment, without overtopping the dam.
EROSION The wearing away of the land surface by the action of the wind, water, ice, gravity or any combination thereof.
EXCESS STORMWATER RUNOFF The volume and rate of flow of stormwater discharged from a drainage area.
FAMILY One
(1) or more persons related by blood, marriage or adoption occupying a dwelling unit as an individual housekeeping organization and not more than two
(2) other persons not related by blood, marriage or adoption, or a group of not more than three
(3) persons, excluding servants, not related by blood, marriage or adoption and living together as a single housekeeping organization in a dwelling unit.
FARM An area which is used for the growing of the usual farm products, such as vegetables, fruit, trees, and grain, and their storage on the area, as well as for the raising thereon of the usual farm poultry and farm animals, such as horses, cattle, sheep and swine.
The term ""farming"" includes the operation of such an area for one
(1) or more of the above uses, including dairy farms, with the necessary accessory uses for treating and storing the produce; provided, however, that the operation of such accessory uses shall be secondary to that of the normal farming activities, that such land shall consist of at least ten
(10) acres in one"
1,Article I General Provisions,Section 405.020 Definitions.,sub-sec-1.2,https://ecode360.com/33325820,https://zoneomics.com/code/16248/chapter_1#1.2,True,3,"(1) parcel under common ownership or operation, and provided, further, that farming does not include the feeding of collected garbage or offal to swine or other animals.
FILLING STATION Any building or premises used for the sale at retail of motor vehicle fuels, oil, or accessories, or for servicing or lubricating motor vehicles or installing or repairing parts and accessories, but not including the repairing or replacement of motors, bodies or fenders of motor vehicles, or painting motor vehicles, and excluding public garages.
FINAL STABILIZATION All soil disturbing activities at the site have been completed and a uniform perennial vegetative cover with a density of seventy percent (70%) of the cover for unpaved areas not covered by permanent structures has been established or equivalent permanent stabilization measures (such as the use of riprap, gabions or geotextiles) have been employed.
FLOOD FRINGE The higher portion of the floodplain, immediately adjacent to and on either side of the floodway, occupied by quiescent or slow-moving waters during floods.
FLOODPLAIN The special flood hazard land adjoining a watercourse, the surface elevation which is equal to or lower than the base flood elevation (the 100-year flood), which is subject to periodic inundation during floods.
FLOODWAY The channel of a watercourse and those portions of the adjoining floodplain which are reasonably required to carry and discharge the base flood.
FLOOR AREA The total number of square feet of floor space within the exterior walls of a building, not including space in cellars or basements; however, if the cellar or basement is used for business or commercial purposes, it shall be counted as floor area in computing off-street parking requirements.
FRONTAGE All the property on one
(1) side of a street between two
(2) intersecting streets (crossing or terminating), measured along the line of the street, or if the street is dead-ended, then all of the property abutting on one
(1) side between an intersecting street and the dead-end of the street, but not including property more than four hundred (400) feet distant on either side of a proposed building or structure.
GARAGE, COMMERCIAL Any building or premises, except those used as a private or storage garage, used for equipping, repairing, hiring, selling or storing motor-drive vehicles.
The term ""repairing"" shall not include an automotive body repair shop nor the rebuilding, dismantling, or storage of wrecked or junked vehicles.
GARAGE, PRIVATE A detached accessory building, or portion of the main building, housing the automobiles of the occupants of the premises.
GRADE The average level of the finished surface of the ground adjacent to the exterior walls of the building, except when any wall approximately parallels and is not more than five
(5) feet from a street line, then the elevation of the street at the center of the wall adjoining the street shall be grade.
HIGH WATER ELEVATION The elevation of floodwaters of a flood of specified frequency or occurrence at any given point.
HOME OCCUPATION Any occupation or profession carried on by a member of the immediate family, residing on the premises, in connection with which there is used no sign other than a nameplate, or no display that will indicate from the exterior that the building is being utilized in whole or in part for any purpose other than that of a dwelling; there is no commodity sold upon the premises; no person is employed other than a member of the immediate family residing on the premises; and no mechanical equipment is used except such as is permissible for purely domestic household purposes.
IMPERVIOUS SURFACE A surface which has been compacted or covered with a layer of materials so that it is highly resistant to infiltration of water.
The term includes most conventionally surfaced streets, roofs, sidewalks, parking lots and similar structures.
IMPROVEMENT A structure on, or other alteration of, land on a given site, including, but not limited to, grading, street paving, storm sewers, sanitary sewers and utilities.
INDUSTRY As used in this Chapter, is restricted to establishments primarily involved in product manufacturing and processing, heavy equipment uses, and warehousing.
It does not include retail and wholesale trades, agricultural uses, institutional uses, and other businesses that are primarily commercial in nature.
INSTITUTION A building occupied by a non-profit corporation or a non-profit establishment for public use.
LICENSEE Any person licensed to operate and maintain a mobile home park under the provisions of this Chapter.
LOADING SPACE An off-street space or berth on the same lot with a building, or contiguous to a group of buildings, for the temporary parking of a commercial vehicle while loading or unloading merchandise or materials, and which abuts upon a street or other appropriate means of access.
LOSING STREAM A stream which distributes thirty percent (30%) or more of its flow during low flow conditions through natural processes, such as through permeable geologic material into a bedrock aquifer within two
(2) miles' flow distance downstream of an existing or proposed discharge.
Flow measurements to determine percentage of water loss must be corrected to approximate the seven-day Q10 stream flow.
If a streambed or drainage way has an intermittent flow or a flow insufficient to measure in accordance with this rule, it may be determined to be a losing stream on the basis of channel development, valley configuration, vegetation development, dye tracing studies, bedrock characteristics, geographical data and other geological factors.
Losing streams are listed in Table J of 10 CSR 20-7.031; additional streams may be determined to be losing by the
Division of Geology and Land Survey.
LOT A parcel of land occupied or intended for occupancy by a use permitted in this Chapter, including one
(1) main building together with its accessory buildings, open spaces, and parking spaces required by this Chapter, and having its principal frontage upon a street.
LOT OF RECORD A lot which is a part of a subdivision, the map or plat of which has been recorded in the office of the County Recorder of St. Francois County, Missouri; or a lot or parcel of land, the deed of which has been recorded in the office of the County Recorder of St. Francois County, Missouri, prior to the adoption of this Chapter.
LOT, CORNER A lot abutting upon two
(2) or more streets at their intersection.
LOT, DEPTH OF The mean horizontal distance between the front and the rear lot lines."
1,Article I General Provisions,Section 405.020 Definitions.,sub-sec-1.2,https://ecode360.com/33325820,https://zoneomics.com/code/16248/chapter_1#1.2,True,4,"LOT, DOUBLE FRONTAGE A lot having a frontage on two
(2) non-intersecting streets, as distinguished from a corner lot.
MANUFACTURER An establishment whose primary function is the mechanical or chemical transformation or processing of materials or substances into new products, including the assembly of component parts and blending of materials.
MOBILE HOME PARK An area or plot of ground upon which two
(2) or more mobile homes, occupied for dwelling or sleeping purposes, are located or intended to be located, regardless of whether or not a charge is made for such accommodation.
MOBILE HOME SPACE A plat of ground within a mobile home park designed for the accommodation of one
(1) mobile home.
MOBILE HOME STAND That part of an individual mobile home lot which has been reserved for the placement of the mobile home and any appurtenances thereto.
MOBILE HOME
SUBDIVISION The division of a tract of land into lots, tracts, sites, parcels, areas and/or the division of a tract of land into any number of lots, tracts, sites, parcels, or areas of any size which may include improvements, new streets, easements, rights-of-way, rights ingress and egress or provision for a public area or public facility.
The creation of said subdivision is for the express purpose of providing for the placement of mobile homes.
Said subdivision may be classified as a minor subdivision or a major subdivision based upon the scope of the particular development.
MOBILE HOMES INSPECTOR The person or persons designated by the City Board of Alderman to issue permits, make inspections and perform duties as set out in this Chapter.
MOBILE OR MANUFACTURED HOME A factory-built structure or structures more than eight
(8) body feet in width and thirty-two
(32) feet or more in length, equipped with the necessary service connections and made so as to be readily movable as a unit or units on its, or their, own running gear and designed to be used as a dwelling unit or units without a permanent foundation.
The phrase ""without a permanent foundation"" indicates that the support system is constructed with the intent that the mobile home placed thereon may be moved from time to time at the convenience of the owner.
A ""mobile home"" means a mobile home which has a flush toilet and a bath or shower.
MODULAR HOME UNIT A factory-fabricated, transportable building unit designed to be used by itself or to be incorporated with similar units at a building site into a modular structure to be used for residential, commercial, educational, or industrial purposes that is indistinguishable in appearance from conventionally built structures.
For the purposes of this Chapter, modular home units are considered as permissible single-family dwellings in appropriate districts.
MOTEL, MOTOR COURT, MOTOR LODGE or TOURIST COURT Any building or group of buildings containing guest rooms or dwelling units, some or all of which have a separate entrance leading directly from the outside of the building with garage or parking space conveniently located on the lot, and designed, used or intended wholly or in part for the accommodation of paying guests.
NATURAL OR ARTIFICIAL BARRIER Any pond, canal, fence, hedge or similar feature.
NON-CONFORMING USE Any building or land lawfully occupied by a use at the time of passage of this Chapter, or amendment thereto, which does not conform after the passage of this Chapter, or amendment thereto, with the use regulations of the district in which it is situated.
NURSING HOME A home for the aged or infirm, in which three
(3) or more persons not of the immediate family are received, kept, or provided with food and shelter or care, for compensation; but not including hospitals, clinics, or similar institutions.
OFF-SITE DETENTION BASIN A feature or structure for temporarily storing excess stormwater originating at two
(2) or more sites having devices for controlling the rate of release of the stored water and located downstream of all sites where the runoff originates.
ON-SITE DETENTION BASIN A feature or structure for temporarily storing excess stormwaters, having devices for controlling the rate of release of the stored waters, and located within the sites where the runoff originates.
OVERFLOW ELEVATION Design elevation of a discharge structure at which point, or above which point, water leaks out, or bleeds out, through a control device down to the control elevation.
PARK Mobile home park.
PARKING SPACE, OFF-STREET An area, enclosed or unenclosed, sufficient in size to store one
(1) automobile, together with a driveway connecting the parking space with a street, road, or alley and permitting ingress and egress of an automobile.
PEAK FLOW The maximum rate of flow of water at a given point in a channel or conduit resulting from a predetermined storm or flood.
PERMITTEE Any person to whom a temporary permit is issued to maintain or operate a mobile home park under the provisions of this Chapter.
PERSON Any natural individual, firm, trust, partnership, association or corporation.
PLAT A map, plan, or layout of a City, township, section or subdivision or mobile home park indicating the location and boundaries of individual properties.
POINT SOURCE Any discernible, confined and discrete conveyance, including, but not limited to, any pipe, ditch, channel, tunnel, conduit, well, discrete fissure, container, rolling stock, concentrated animal feeding operation, separate storm sewer or vessel or other floating craft from which pollutants are, or may be, discharged.
POLLUTANT Dredged spoil, solid waste, incinerator residue, sewage, garbage, sewer sludge, munitions, chemical waste, biological materials, radioactive materials, heat wrecked or discarded equipment, rock, sand, cellar dirt, filter backwash or industrial, municipal or agricultural waste discharged into water.
POST-DEVELOPMENT CONDITIONS Those conditions which are expected to exist, or do exist, after alteration, resulting from human activity, of the natural topography, vegetation and rate, volume or direction of surface or subsurface flow.
PRE-DEVELOPMENT CONDITIONS Those conditions which existed at the time this
Article becomes effective in terms of topography, vegetation and rate, volume or direction of surface or subsurface flow, as indicated by the best available historical date.
PREMISES A lot, together with all buildings and structures thereon.
PRIMARY DRAINAGE (WATER MANAGEMENT) SYSTEMS Includes major waterways and appurtenant structures or systems whose total tributary area from origin to outfall exceeds or equals fifty
(50) acres."
1,Article I General Provisions,Section 405.020 Definitions.,sub-sec-1.2,https://ecode360.com/33325820,https://zoneomics.com/code/16248/chapter_1#1.2,True,5,"PROFESSIONAL ENGINEER OR ARCHITECT An engineer or architect duly registered by the State to practice engineering or architecture.
RATIONAL METHOD An empirical formula for calculating peak rates of runoff resulting from rainfall.
Expressed mathematically, the formula is:
|  |  |  |
| --- | --- | --- |
| Q | = | CIA |
| Q | = | Peak flow in cubic feet per second (cfs). |
| C | = | Runoff coefficient, or fraction of runoff to rainfall, dependent on type of surface cover and topography. |
| I | = | Rainfall intensity, in inches per hour, for a specific storm and duration. |
| A | = | Watershed area, in acres. | RECEIVING BODIES OF WATER Any water body or stream into which surface waters flow.
SEDIMENTATION The process by which suspended solids from erosion are transported and deposited.
SEWER CONNECTION The connection consisting of all pipes, fittings and appurtenances from the drain outlet of the mobile home to the inlet of the corresponding sewer riser pipe of the sewerage system serving the mobile home park.
SEWER RISER PIPE That portion of the sewer lateral which extends vertically to the ground elevation and terminates at each mobile home lot.
SIGN An identification, description, illustration or device which is affixed to, or represented directly or indirectly upon, a building, structure, or land, and which directs attention to a product, place, activity, person, institution, or business.
SITE PLAN The plan, usually in map form, prepared pursuant to the Governing Body's zoning or other land development ordinances as a requirement for the development of property.
STORMWATER RUNOFF The waters derived from rain falling or snow melting within a tributary drainage basin flowing over the surface of the ground or collected in a stormwater drainage system, storm sewer or watercourse.
STORY That portion of a building, other than a cellar, included between the surface of any floor and the surface of the floor next above it, or if there be no floor above it, then the space between the floor and the ceiling next above it.
STORY, HALF A space under a sloping roof which has the line of intersection of roof decking and wall face not more than three
(3) feet above the top floor level, and in which space not more than sixty percent (60%) of the floor area is finished off for use.
A half story may be used for occupancy only in conjunction with and by the occupancy of the floor immediately below.
STREET A public way which affords the principal means of access to abutting property.
STREET LINE A dividing line between a lot, tract, or parcel of land and a contiguous street.
STRUCTURAL ALTERATION Any change, except those required by law or ordinance, that would prolong the life of the supporting members of a building or structure, such as bearing walls, columns, beams or girders, not including openings in bearing walls, as permitted by other ordinances.
STRUCTURE Anything constructed or erected, the use of which requires permanent location on the ground or attached to something having a permanent location on the ground and including, but not limiting the generality of the foregoing, advertising signs, billboards, backstops for tennis courts, and pergolas.
SUBDIVISION As defined in
Chapter 410,
Subdivision Regulations, of the Code of the City of Leadington.
TIME OF CONCENTRATION The elapsed time for stormwater to flow from the most distant point in a drainage basin to the outlet or point in question.
TOWER Any tower other than a radio or telecommunication tower.
TRAILER OR MOBILE HOME PARK An area or plot of ground upon which two
(2) or more trailers or mobile homes, occupied for dwelling or sleeping purposes, are located or intended to be located, regardless of whether or not a charge is made for such accommodation.
TRAVEL TRAILERS A vehicular unit mounted on wheels, designed to provide temporary living quarters for recreational, camping or travel use and of such size or weight as not to require special highway movement permits when drawn by a motorized vehicle, and with a living area of less than three hundred twenty (320) square feet, including built-in equipment (such as wardrobes, closets, kitchen units or fixtures) and bath and toilet room.
TRUCK GARDEN An area which is used for the growing of vegetables for the market.
USE The purpose for which land or a building is arranged, designed or intended, or for which either land or a building is, or may be, occupied or maintained.
WATER CONNECTION The connection consisting of all pipes and fittings from the water riser pipe to the water inlet pipe of the distribution system within the mobile home.
WATER CONTAMINANT Any particulate matter or solid matter or liquid or any gas or vapor or any combination thereof or any temperature change which is in or enters any waters of the State either directly or indirectly by surface runoff, by sewer, by subsurface seepage or otherwise, which causes or would cause pollution upon entering waters of the State or which violates or exceeds any of the standards, regulations or limitations under the Missouri Clean Water Law or the Federal Clean Water Act or is included in the definition of pollutant in the Federal act.
WATERCOURSE Any stream, creek, brook, branch; natural or artificial depression, slough, gulch, reservoir, lake, pond or natural or man-made drainageway in or into which stormwater runoff and floodwaters flow, either regularly or intermittently.
WATER RISER PIPE That portion of the water supply system serving the mobile home park which extends vertically to the ground elevation and terminates at a designated point at each mobile home lot.
WATERS OF THE STATE All rivers, streams, lakes and other bodies of surface and subsurface water lying within or forming a part of the boundaries of the State which are not entirely confined and located completely upon lands owned, leased or otherwise controlled by a single person or by two
(2) or more persons jointly or as tenants in common.
These waters also include waters of the United States lying within or adjacent to the State.
WINDMILL A machine that is powered by wind energy, designed to convert the energy of the wind into more useful forms of energy using rotating blades.
YARD An open space on the same lot with a building unoccupied and unobstructed by any portion of the structure from the ground upward, except as otherwise provided in this Chapter.
YARD, FRONT A yard across the full width of the lot extending from the front line of the main building to the front line of the lot.YARD, REAR A yard extending the full width of the lot between a main building and the rear lot line.
YARD, SIDE A yard between the main building and the side line of the lot, and extending from the front yard line to the rear yard line."
2,Article II District Boundaries And General Regulations,Section 405.030 Enumeration Of Districts.,sub-sec-2.1,https://ecode360.com/33325880,https://zoneomics.com/code/16248/chapter_2#2.1,False,0,"In order to classify, regulate and restrict the locations of trades, industries and residences, and the location of buildings designed for specific uses; to regulate and limit the height and use of buildings hereafter erected or structurally altered; to regulate and limit the intensity of use and the lot areas; and to regulate and determine the areas of yards, courts, and other open spaces surrounding such buildings, the City of Leadington is hereby divided into districts of which there shall be six
(6) in number known as:
|  |
| --- |
| ""A"" Agricultural District |
| ""R-1"" Single-Family Residential District |
| ""R-2"" General Residential District |
| ""MH"" Mobile Home Park District |
| ""C-1"" General Commercial District |
| ""I"" Industrial District |"
2,Article II District Boundaries And General Regulations,Section 405.040 District Boundaries.,sub-sec-2.2,https://ecode360.com/33325881,https://zoneomics.com/code/16248/chapter_2#2.2,False,0,"The boundaries of these districts are shown upon the ""Zoning District Map for the City of Leadington, Missouri,"" which accompanies and is made a part of this Chapter.
Said map and all the information shown thereon shall have the same force and effect as if all were fully set forth or described herein.
The original of the Zoning District Map is properly attested and is on file with the City Clerk of the City of Leadington, Missouri."
2,Article II District Boundaries And General Regulations,Section 405.050 Annexations.,sub-sec-2.3,https://ecode360.com/33325882,https://zoneomics.com/code/16248/chapter_2#2.3,False,0,"All territory which may hereafter be annexed to the City of Leadington shall be classified in the ""R-1"" Single-Family Residential District until, within a reasonable time after annexation, the annexed territory shall be appropriately classified, if other than R-1, by ordinance in accordance with
Article XVIII of this Chapter."
2,Article II District Boundaries And General Regulations,Section 405.060 Impact Of Street Vacation.,sub-sec-2.4,https://ecode360.com/33325883,https://zoneomics.com/code/16248/chapter_2#2.4,False,0,"Whenever any street or other public way is vacated by official action of the City of Leadington, the zoning district adjoining each side of such street or public way shall be automatically extended to the center of such vacation and all area included in the vacation shall then, and henceforth, be subject to all appropriate regulations of the extended districts."
