chapter_no,heading_1,heading_2,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Article I General Provisions,Section 405.010 Definitions.,sub-sec-1.1,https://ecode360.com/29255595,https://zoneomics.com/code/15781/chapter_1#1.1,True,1,"[R.O.
2010
§ 405.010; CC
1996
§ 405.010; CC
1977
§ 42.010; Ord.
No.
617
§ 1, 1-7-1980; Ord.
No.
1105
§ § I — II, 5-10-1999; Ord.
No.
1258
§ I, 1-21-2002] For the purposes of this Chapter, certain terms and words are hereby defined.
Words used in the present tense shall include the future; the singular number shall include the plural and the plural the singular; the word ""building"" shall include the word ""structure"" and the word ""shall"" is mandatory and not directory.
ACCESSORY BUILDING OR USE A subordinate building or use which is incidental to the principal building or use, and which is located on the same lot with such principal building or use.
ADULT DAY-CARE FACILITY A building or structure where care, protection and supervision are provided, on a regular schedule, at least twice per week to disabled or elderly [age sixty
(60) or older] adults.
ALLEY A public or private thoroughfare which affords a secondary means of access to abutting property.
BASEMENT A story having part but not more than one-half (1/2) of its height below grade.
A basement is counted as a story for the purpose of height regulation if subdivided and used for dwelling purposes other than by a janitor employed on the premises.
BILLBOARD A sign which directs attention to a business, commodity, service or entertainment conducted, sold or offered elsewhere than upon the same lot.
BUILDABLE WIDTH The width of the lot left to be built upon after the side yards are provided.
BUILDING Any structure having a roof supported by columns or walls built for the support, shelter or enclosure of persons, animals, chattels or property of any kind, but not including any vehicle, trailer (with or without wheels) nor any movable device, such as furniture, machinery or equipment.
When any portion of a building is completely separated from any other portion thereof by a division wall without openings or by a fire wall, then each such portion shall be deemed to be a separate building.
BUILDING, HEIGHT OF The vertical distance from the grade to the highest point of the coping of a flat roof, or the deck line of a mansard roof, or to the mean height level between eaves and ridge for gable, hip and gable roof.
CELLAR A story having more than one-half (1/2) of its height below grade.
CHILD-CARE FACILITY A building or structure where care, protection and supervision are provided, on a regular schedule, at least twice per week to not more than six
(6) children not related to the child-care provider.
CONDITIONAL USES A use so designated by this
Chapter which may be permitted after review and approval by the Board of Adjustment following a public hearing when it is determined by the Board of Adjustment that the location is not in conflict with the comprehensive plan for zoning the City of Bowling Green, the public health, safety, morals and general welfare will not be adversely affected, and that the necessary safeguards for protection of surrounding property, persons and neighborhood values are provided.
DWELLING Any building or portion thereof which is designed and used exclusively for residential purposes.
DWELLING, MULTIPLE-FAMILY A detached building designed for or occupied exclusively by three
(3) or more families and affording a common entry.
DWELLING, SINGLE-FAMILY For the purpose of any zoning law, ordinance or code, the classification ""single-family dwelling"" or ""single-family residence"" shall include any home in which eight
(8) or fewer unrelated mentally or physically handicapped persons reside, and may include two additional persons acting as houseparents or guardians who need not be related to each other or to any of the mentally or physically handicapped persons residing in the home.
In the case of any such residential home for mentally or physically handicapped persons, the local zoning authority may require that the exterior appearance of the home and property be in reasonable conformance with the general neighborhood standards.
Further, the local zoning authority may establish reasonable standards regarding the density of such individual homes in any specific single-family-dwelling neighborhood.
For purposes of any zoning law, ordinance or code, the classification of ""single-family dwelling"" or ""single-family residence"" shall include any private residence licensed by the Children's
Division or Department of Mental Health to provide foster care to one
(1) or more but fewer than seven
(7) children who are unrelated to either foster parent by blood, marriage or adoption.
Nothing in this Subsection shall be construed to relieve the Children's Division, the Department of Mental Health or any other person, firm or corporation occupying or utilizing any single-family dwelling or single-family residence for the purposes specified in this Subsection from compliance with any ordinance or regulation relating to occupancy permits except as to number and relationship of occupants or from compliance with any building or safety code applicable to actual use of such single-family dwelling or single-family residence.
DWELLING, SINGLE-FAMILY ATTACHED A detached building containing three
(3) or more dwelling units separated by a common or party wall, with each such dwelling unit providing independent, as distinguished from common, entry.
The term is intended primarily for row houses and town houses.
DWELLING, TWO-FAMILY A building designed for or occupied exclusively by two
(2) families.
DWELLING UNIT One
(1) or more rooms in a dwelling occupied or intended to be occupied as separate living quarters by a single family as defined herein.
FAMILY One
(1) or more persons related by blood, marriage or adoption occupying a dwelling unit as an individual housekeeping organization.
A family may include not more than two
(2) persons not related by blood, marriage or adoption.
FARM An area which is used for the growing of the usual farm products, such as vegetables, fruit, trees and grain and their storage on the area, as well as for the raising thereon of the usual farm poultry and farm animals, such as horses, cattle, sheep and swine.
The term ""farming"" includes the operating of such an area for one
(1) or more of the above uses, including dairy farms, with the necessary accessory uses for treating or storing the produce; provided, however, that the operation of such accessory uses shall be secondary to that of the normal farming activities, and provided further that farming does not include the feeding of collected garbage or offal to swine or other animals.
FLOOR AREA The total number of square feet of floor space within the exterior walls of a building, not including space in cellars or basement except that when such space is used for business or commercial purposes, it shall be counted as floor area in computing off-street parking requirements.
FRONTAGE All the property on one
(1) side of a street between two"
1,Article I General Provisions,Section 405.010 Definitions.,sub-sec-1.1,https://ecode360.com/29255595,https://zoneomics.com/code/15781/chapter_1#1.1,True,2,"(2) intersecting streets (crossing or terminating) measured along the line of the street, or if the street is dead-ended, then all of the property abutting on one
(1) side between an intersecting street and the dead end of the street, but not including property more than four hundred (400) feet distant on either side of a proposed building or structure.
GARAGE SALE The public offering for sale of more than three
(3) items of personal property upon real estate zoned residential.
GRADE The average level of the finished surface of the ground adjacent to the exterior walls of the building, except when any wall approximately parallels and is not more than five
(5) feet from a street line, then the elevation of the street at the center of the wall adjoining the street shall be grade.
HOME OCCUPATION Any occupation or profession carried on by a resident within a residential home or accessory structure, which is clearly incidental and secondary to the use of the dwelling unit for residential purposes and does not change the residential character of the residential building or adversely affect the character of the surrounding neighborhood, and for which there is no sign other than a nameplate, and no display that will indicate from the exterior that the building is being utilized in whole or in part for any purpose other than that of a dwelling or that there is a commodity sold upon the premises.
HOTEL A building in which lodging is provided and offered to the public for compensation, and which is open to transient guests.
INSTITUTION A building occupied by a non-profit corporation or a non-profit establishment for public use.
LODGING HOUSE A building or place where lodging and boarding is provided for compensation for three
(3) or more, but not exceeding twelve
(12) individuals, and not open to transient guests.
LOT A parcel of land occupied or intended for occupancy by a use permitted in this Chapter, including one
(1) main building together with its accessory buildings, open spaces and parking spaces required by this Chapter, and having its principal frontage upon a street.
LOT, CORNER A lot abutting upon two
(2) or more streets at their intersection.
LOT, DEPTH OF The mean horizontal distance between the front and rear lot lines.
LOT, DOUBLE FRONTAGE A lot having a frontage on two
(2) non-intersecting streets, as distinguished from a corner lot.
LOT OF RECORD A lot or parcel of land, the deed of which has been recorded in the office of the County Recorder of Pike County, Missouri, prior to the adoption of this Chapter.
MANUFACTURED HOME A factory-built structure designed for use and occupancy as a single-family dwelling unit that is manufactured under the authority of the National Manufactured Housing Construction and Safety Standards Act of 1974, 42 U.S.C.
§ 5401, as amended, or applicable successor Statutes, is transportable in one
(1) or more sections, and is built upon a permanent chassis, but which is not constructed with a permanent hitch or other device allowing transport other than for the purpose of delivery to a permanent site, and which does not have wheels or axles permanently attached to its body or frame.
MANUFACTURED HOME PARK A parcel of land under single ownership that has been planned and improved in accordance with the district regulations therefor for the placement of manufactured homes for dwelling purposes.
MANUFACTURED HOME SITE A lot within a manufactured home park offered as a location for a single manufactured home in accordance with the district regulations therefor.
MOTEL, MOTOR COURT, MOTOR LODGE or TOURIST COURT Any building or group of buildings containing guest rooms or dwelling units, some or all of which have a separate entrance leading directly from the outside of the building with garage or parking space conveniently located on the lot and designed, used or intended wholly or in part for the accommodation of automobile transients.
NON-CONFORMING USE Any building or land lawfully occupied by a use at the time of passage of this
Chapter or amendment thereto which does not conform after the passage of this
Chapter or amendment thereto with the use regulation of the district in which it is situated.
NURSING HOME A home for the aged or infirm, in which three
(3) or more persons not of the immediate family are received, kept or provided with food and shelter or care, for compensation, but not including hospitals, clinics or similar institutions.
PARKING SPACE, OFF-STREET An area, enclosed or unenclosed, sufficient in size to store one
(1) automobile, together with a driveway connecting the parking space with a street, road or alley and permitting ingress and egress of an automobile.
PERMITTED USE A use listed in the permitted uses regulations of the applicable zoning district.
A permitted use is allowable within that zoning district to the extent conforming with other applicable district requirements and supplemental regulations of this Chapter.
PREMISES A lot, together with all buildings and structures thereon.
SIGN An identification, description, illustration or device which is affixed to or represented directly or indirectly upon a building, structure or land, and which directs attention to a product, place, activity, person, institution or business.
STORY That portion of a building, other than a cellar, included between the surface of any floor and the surface of the floor next above it or, if there be no floor above it, then the space between the floor and the ceiling next above it.
STORY, HALF A space under a sloping roof which has the line of intersection of roof decking and wall face not more than three
(3) feet above the top floor level, and in which space not more than sixty percent (60%) of the floor area is finished off for use.
A half story may be used for occupancy only in conjunction with and by the occupancy of the floor immediately below.
STREET A public way which affords the principal means of access to abutting property.
STRUCTURAL ALTERATION Any change except those required by law or ordinance, that would prolong the life of the supporting members of a building or structure, such as bearing walls, columns, beams or girders, not including openings in bearing walls as permitted by other ordinances.
STRUCTURE Anything constructed or erected, the use of which requires permanent location on the ground or attachment to something having a permanent location on the ground and including, but not limiting the generality of the foregoing, advertising signs, billboards, backstops for tennis courts and pergolas.
YARD An open space on the same lot with a building unoccupied and unobstructed by any portion of the structure from the ground upward, except as otherwise provided in this Chapter.
YARD, FRONT A yard across the full width of the lot extending from the front line of the main building to the front line of the lot.
YARD, REAR A yard extending the full width of the lot between a main building and the rear lot line."
1,Article I General Provisions,Section 405.010 Definitions.,sub-sec-1.1,https://ecode360.com/29255595,https://zoneomics.com/code/15781/chapter_1#1.1,True,3,"YARD, SIDE A yard between the main building and the side line of the lot and extending from the front yard line to the rear yard line."
1,Article I General Provisions,Section 405.020 Procedure For Rezoning - Application.,sub-sec-1.2,https://ecode360.com/29255647,https://zoneomics.com/code/15781/chapter_1#1.2,False,0,"[R.O.
2010
§ 405.020; Ord.
No.
1561
§ § I — II, 5-21-2007]
A. The following procedures shall be followed in all applications to rezone property within the corporate limits of the City of Bowling Green, Missouri:
1. Printed application blanks for rezoning shall be supplied to the applicant by the City.
A person or entity can file an application for rezoning only if they own the property or are under a contract for the purchase of said property or have an ownership interest in said property.
The City shall charge a non-refundable fee in the amount of two hundred dollars ($200.00) upon receipt of an application for rezoning property in the City.
The City shall bill the applicant for any recording fees that may be incurred.
2. The City Clerk shall forthwith submit the application to the Planning and Zoning Commission and shall notify the applicant of the date and time the application is to appear on the Planning and Zoning Commission agenda.
3. Applicant may appear at the Planning and Planning and Zoning Commission hearing and the meeting of the Board of Aldermen to answer questions with regard to the application and to explain his/her rezoning proposal.
4. Such regulations, restrictions and boundaries may from time to time be amended, supplemented, changed, modified or repealed.
In case, however, of a protest against such change duly signed and acknowledged by the owners of thirty percent (30%) or more either of the areas of the land (exclusive of streets and alleys) included in such proposed change or within an area determined by lines drawn parallel to and one hundred eighty-five (185) feet distant from the boundaries of the district proposed to be changed, such amendment shall not become effective except by the favorable vote of two-thirds (2/3) of all the members of the Board of Aldermen.
The provisions of
Section 89.050, RSMo., relative to public hearing and official notice shall apply equally to all changes or amendments.
5. The Planning and Zoning Commission shall make its final report and recommendation to the Board of Aldermen on its findings and the Board of Aldermen shall take no action on the application until such report or recommendation is submitted.
The Board of Aldermen shall cause a notice to be published in a local newspaper at least fifteen
(15) days prior to the public hearing to consider the recommendation.
B. At the public hearing held by the Board of Aldermen, the recommendation of the Planning and Zoning Commission shall be announced and considered by the Board of Aldermen and the applicant and other interested persons may be heard on the proposed zoning change.
Again, if thirty percent (30%) or more of the owners within one hundred eighty-five (185) feet of the property sought to be rezoned, exclusive of streets and alleys, have protested in writing, duly signed and acknowledged, then two-thirds (2/3) of the members of the Board of Aldermen must vote in favor of the zoning change in order to enact such a change.
If the vote of the Board of Aldermen is in opposition to the proposed zoning change, then no further action is necessary by the Board of Aldermen.
If the vote is in favor of the proposed zoning change, an ordinance is signed by the appropriate City Officials and is in full force and effect from that day forward.
C. Land use regulations, ordinances and restrictions may from time to time be amended, supplemented, changed, modified or repealed.
The provisions of
Section 89.050, RSMo., relative to public hearing and official notice shall apply equally to all changes or amendments.
D. There shall be a ninety
(90) day waiting period for a rezoning request of the same zoning district that has been previously denied by the Planning and Zoning Commission and Board of Aldermen.
The ninety
(90) days shall start from the day the request was denied by the Board of Aldermen.
E. Rezoning Application.
The rezone application, on file in the City offices, shall be utilized for rezoning property.
The application may be amended by the City Administrator from time to time as needed."
1,Article I General Provisions,"Section 405.030 Voluntary Annexation Petitions, Fees And Procedures.",sub-sec-1.3,https://ecode360.com/29255658,https://zoneomics.com/code/15781/chapter_1#1.3,False,0,"[R.O.
2010
§ 405.030; Ord.
No.
1557
§ § I — II, 3-19-2007; Ord.
No.
1691
§ § I — II, 6-18-2012]
A. Any request for voluntary annexation submitted to the City of Bowling Green, Missouri, pursuant to
Section 71.012, RSMo., shall be accompanied by a cost deposit of two hundred dollars ($200.00) for processing said request, unless such request is made at the direction of the City, then the processing fee is waived.
B. The annexation application is on file in the City offices and shall be utilized for voluntary annexations.
The application may be amended by the City Administrator from time to time as needed."
1,Article I General Provisions,Section 405.035 Boundary Adjustment.,sub-sec-1.4,https://ecode360.com/29255661,https://zoneomics.com/code/15781/chapter_1#1.4,False,0,"[R.O.
2010
§ 405.035; Ord.
No.
1697
§ § I — II, 8-20-2012]
A. Purpose.
To allow adjustments to be made to lot lines of platted lots or other lawful parcels for the purpose of adjusting the sizes of building sites; however, it is not intended that extensive re-platting be accomplished by use of this Section.
B. Boundary adjustments must meet the following criteria:
1. No additional lots shall be created by the boundary adjustment.
2. The resulting lot or lots shall not be reduced below the minimum sizes and dimensions required by these regulations or the zoning code.
C. Procedure.
1. A boundary adjustment may be accomplished by plat or by deed, but must include an adequate legal description of the boundaries of the original lots and of the adjusted lots.
2. The boundary adjustment plat or deed shall be submitted to the Administrative Officer for review prior to its recording with the Recorder of Deeds of Pike County.
D. Lots In Non-Compliance.
Boundary adjustments shall be allowed for lawful lots existing in non-compliance with minimum area, frontage, and dimensional requirements of these regulations of the zoning code and subdivision regulations,[1] provided that the resulting adjustment of lot lines does not increase the degree of non-compliance with the zoning code and these regulations.
See Ch.
410,
Subdivision of Land, of this Code."
1,Article I General Provisions,Section 405.040 Amendments.,sub-sec-1.5,https://ecode360.com/29255670,https://zoneomics.com/code/15781/chapter_1#1.5,False,0,"[R.O.
2010
§ 405.040; CC
1996
§ 405.140; CC
1977
§ 42.150]
A. The Board of Aldermen may from time to time, on its own motion or on petition, amend, supplement, change, modify or repeal by ordinance the boundaries of districts or regulations or restrictions herein established.
Any proposed amendment, supplement, change, modification or repeal shall first be submitted to the City Planning and Zoning Commission for its recommendations and report.
If the City Planning and Zoning Commission makes no report within thirty
(30) days, it shall be considered to have made a report approving the proposed amendment, supplement, modification or change.
Upon the filing of the recommendations and report by the City Planning and Planning and Zoning Commission with respect to any proposed amendment, supplement, change, modification or repeal, the Board of Aldermen shall proceed to hold a public hearing in relation thereto giving at least fifteen
(15) days' notice of the time and place of such hearing, which notice shall first be published in a newspaper having a general circulation in the City of Bowling Green.
B. In case of an adverse report by the City Planning and Zoning Commission or if a protest against such proposed amendment, supplement, change, modification or repeal shall be presented in writing to the City Clerk, duly signed and acknowledged by the owners of thirty percent (30%) or more either of the area of the land (exclusive of streets, places and alleys) included within such proposed amendment, supplement, change, modification or repeal or within an area determined by lines drawn parallel to and one hundred eighty-five (185) feet distant from the boundaries of the district proposed to be changed, such amendment, supplement, change, modification or repeal shall not become effective except by the favorable vote of two-thirds (2/3) of all the members of the Board of Aldermen."
2,Article II District Regulations,Section 405.110 District Boundaries And General Regulations.,sub-sec-2.1,https://ecode360.com/29255675,https://zoneomics.com/code/15781/chapter_2#2.1,False,0,"[R.O.
2010
§ 405.110; CC
1996
§ 405.020; CC
1977
§ 42.020; Ord.
No.
1105
§ § III, IV, XI, 5-10-1999; Ord.
No.
1527
§ I, 5-15-2006]
A. To classify, regulate and restrict the locations of trades, industries, and the location of buildings designed for specified uses; to regulate and limit the height and use of buildings hereafter erected or structurally altered; to regulate and limit the intensity of the use and lot areas; and to regulate and determine the areas of yards, courts and other open spaces surrounding such buildings, the City is hereby divided into districts, of which there shall be eleven
(11) in number known as:
1. ""A"" Agricultural District.
2. ""R-1"" Single-Family Dwelling District.
3. ""R-2"" Two-Family Dwelling District.
4. ""R-3"" Medium Density Multiple-Family Dwelling District.
5. ""R-4"" High Density Multiple-Family Dwelling District.
6. ""RMH"" Residential Manufactured Home Park District.
7. ""BR"" Business-Residential Overlay District.
8. ""B-1"" Highway Business District.
9. ""B-2"" Central Business District.
10. ""I"" Industrial District.
11. ""O-P"" Planned Office Park District.
B. The boundaries of these districts are shown upon the ""District Map"" which accompanies this Code and is made a part of this
Section as if fully set out herein.
Said map and all the information shown thereon shall have the same force and effect as if all were fully set forth or described herein.
The original of this is properly attested and is on file with the City Clerk.
C. All territory which may hereafter be annexed to the City of Bowling Green shall be classified in the ""A"" Agricultural District unless and until such annexed territory shall be subsequently classified by ordinance in accordance with
Section 405.020 of this Chapter.
D. Whenever any street or other public way is vacated by official action of the City of Bowling Green, the zoning district adjoining each side of such street or public way shall be automatically extended to the center of such vacation and all area included in the vacation shall then and henceforth be subject to all appropriate regulations of the extended districts.
E. Where uncertainty exists with respect to the boundaries of the various districts as shown on the District Map, the following rules shall apply.
1. Where a boundary line is given a position within a street, alley or non-navigable stream, it shall be deemed to be in the center of the street, alley or stream, and if the actual location of such alley or stream varies slightly from the location as shown on the District Map, then the actual location shall control.
2. Where a boundary line is shown as being located a specific distance from a street line or other physical feature, this distance shall control.
3. Where a boundary line is shown adjoining or coincident with a railroad, it shall be deemed to be in the center of the railroad right-of-way and distances measured from a railroad shall be measured from the center of the designated main line track.
4. Where the district boundaries are not otherwise indicated and where the property has been or may hereafter be divided into blocks and lots, such boundaries shall be construed to be the lot lines and where the districts are bounded approximately by lot lines, said lot lines shall be construed to be the boundary of such districts unless said boundaries are otherwise indicated on the map.
5. In unsubdivided property, unless otherwise indicated the district boundary line shall be determined by the use of the scale contained on such map.
F. Except as hereinafter provided:
1. No building or structure shall be erected, converted, enlarged, reconstructed, moved or structurally altered nor shall any building or land be used except for the purpose permitted in the district in which the building or land is located.
2. No building or structure shall be erected, converted, enlarged, reconstructed, moved or structurally altered, except in conformity with the height, yard, area per family, parking and other regulations prescribed herein for the district in which the building or structure is located.
3. The minimum yards and other open spaces, including lot areas per family required by this Chapter, shall be provided for each and every building or structure hereafter erected, and such minimum yards, open spaces and lot areas for each and every building or structure whether existing at the time of passage of this
Chapter or hereafter erected shall not be encroached upon or be considered as a yard or open space requirement for any other building or structure.
4. Every building hereafter erected or structurally altered shall be located on a lot as herein defined and in no case shall there be more than one
(1) main building on one
(1) lot unless otherwise provided in this Chapter.
G. Unless the contrary is clear from the context, uses not specifically listed as permitted uses or conditional uses within the applicable zoning district regulations are prohibited."
2,Article II District Regulations,"Section 405.120 ""A"" Agricultural District.",sub-sec-2.2,https://ecode360.com/29255703,https://zoneomics.com/code/15781/chapter_2#2.2,False,0,"[R.O.
2010
§ 405.120; CC
1996
§ 405.030; CC
1977
§ 42.030]
A. The regulations set forth in this
Section or set forth elsewhere in this Chapter, when referred to in this Section, are the regulations in the ""A"" Agricultural District.
B. Use Regulations.
A building or premises shall be used only for the following purposes:
1. Farms, truck gardens and nurseries, including the sale and distribution of agricultural products and products other than machinery, that are to be used for agricultural purposes; provided, however, that no farm shall be operated either publicly or privately for the feeding or disposal of garbage, rubbish or offal.
2. Airports and landing fields having prior approval of the Federal Aviation Agency.
3. Publicly owned or operated properties.
4. Public parks, public playgrounds and recreational areas operated by membership organizations for the benefit of their members and not for gain.
5. Railroad rights-of-way.
6. Public schools and institutions of higher education, public libraries, municipal buildings.
7. Single-family dwellings.
8. Churches and other places of worship, Sunday school buildings and parish houses.
9. Cemeteries, including mausoleums; provided that mausoleums shall be distant at least two hundred (200) feet from every street line and adjoining lot lines and, provided further, that any new cemetery shall contain an area of twenty
(20) acres or more.
10. Private clubs, except skeet and gun clubs and those the chief activity of which is a service customarily carried on as a business.
11. Roadside stands, offering for sale only farm products which are produced upon the premises.
12. Riding stables, veterinary hospitals or the keeping of small animals; provided that any building or enclosure housing animals shall be located at least one hundred
(100) feet from all property lines.
13. Grain elevators or similar storage structures, including buildings for seasonal or temporary storage of grain, whenever such elevator and temporary storage are located upon or adjacent to a railroad right-of-way.
14. Hospitals and institutions of an educational, religious, charitable or philanthropic nature; provided, however, that such buildings shall not be located upon sites containing an area of less than five
(5) acres, may occupy not over ten percent (10%) of the total area of the lot, and that the buildings shall be set back from all yard lines a distance of not less than two
(2) feet for each foot of building height.
15. Accessory building or use customarily incidental to any of the above uses.
16. Church bulletin board or a temporary sign not exceeding twenty
(20) square feet in area, appertaining only to the lease, hire or sale of a building or premises or the sale of products grown and sold on the premises; provided, however, that not more than one
(1) sign of the above character shall be permitted on any lot or tract.
17. Public utilities, including water treatment plants, sewage treatment plants and electrical distribution plants."
2,Article II District Regulations,"Section 405.130 ""R-1"" Single-Family Dwelling District Regulations.",sub-sec-2.3,https://ecode360.com/29255723,https://zoneomics.com/code/15781/chapter_2#2.3,True,1,"[R.O.
2010
§ 405.130; CC
1996
§ 405.040; CC
1977
§ 42.040; Ord.
No.
651
§ 2, 12-7-1981; Ord.
No.
1105
§ V, 5-10-1999; Ord.
No.
1156
§ I, 6-12-2000; Ord.
No.
1258
§ II, 1-21-2002]
A. Purpose.
The regulations set forth in this
Section or set forth elsewhere in this Chapter, when referred to in this Section, are the regulations of the ""R-1"" Single-Family Dwelling District.
This district is intended to promote and preserve urban single-family residential development.
The principal land use is a single-family dwelling.
Some public recreational uses, religious facilities, educational facilities, and uses incidental or accessory to dwellings are included.
B. Permitted Uses.
In any ""R-1"" district, buildings or land shall be used only for the following uses:
1. Farm, nurseries and truck gardens, each of which shall be limited to the propagation and cultivation of plants, provided no retail or wholesale business shall be conducted upon the premises, and no noxious fertilizer is stored upon the premises, and no noxious soil or fertilizer renovation is conducted thereon.
2. Churches and synagogues.
3. Single-family dwellings.
4. Child-care facilities under the following restrictions:
a. The rear yard shall meet the minimum requirements of this
Section and shall be enclosed with a suitable fence.
b. Such uses are located in the dwelling unit used by the operator as a private residence.
c. No assistant other than a member of the family shall be employed.
d. No advertising or identification sign shall be placed on the premises.
e. All City health and fire regulations shall be met.
5. Garage sales incidental to single-family dwelling use, but not more than three
(3) sales per household per calendar year and not more than three
(3) days in succession for any one
(1) sale.
No more than one
(1) sign per residential lot shall be allowed to advertise such garage sale and such sign shall be limited to no more than two
(2) square feet in size, ground mounted no more than three and one-half (3 1/2) feet above mean grade of land, displaying no more than three
(3) colors and stating only ""garage sale and an address.""
No sign shall be posted on public property and no sign shall be posted on any private property without the prior consent of all owners of said private property.
All signs must be erected so as not to constitute a traffic, pedestrian, safety or health hazard.
No sign shall be posted more than twenty-four
(24) hours prior to the sale and must be removed no later than twenty-four
(24) hours after the sale.
Any sign not complying with these requirements shall be removed by the City and the violation of these requirements shall subject the person or persons doing so to prosecution for violation of the City ordinances with a minimum fine of twenty-five dollars ($25.00).
6. Golf courses and clubhouses appurtenant thereto, except miniature golf courses, driving ranges and other activities operated as a business.
7. Home occupations, under the following restrictions:
a. No alteration of the residential appearance of the premises shall be made, including the creation of a separate entrance to the dwelling or utilization of an existing entrance exclusively for the home occupation.
b. No more than twenty percent (20%) of the total floor area of the dwelling shall be devoted to the home occupation.
c. The home occupation shall be conducted entirely within the dwelling and no stock in trade shall be displayed or visible outside or stored outside the dwelling, nor shall any raw materials, tools, appliances or waste products be stored outside of the dwelling.
d. A single nameplate sign may be used for identification or advertisement of the home occupation but such sign must be attached flat to the dwelling, may not be larger than one
(1) square foot and may not be illuminated.
e. No power source other than electric shall be used in connection with the home occupation and no single machine shall draw more than one-half (1/2) horsepower and not more than one
(1) horsepower total shall be used in connection with the home occupation.
f. Orders of stock previously made by telephone or at a sales party may be filled on the premises; provided that, no direct sales of products off display shelves or racks shall be made from the premises.
g. The home occupation shall not generate traffic in volumes greater than would normally be expected in a residential neighborhood.
For purposes of this Subsection, the ""normal volume"" of traffic generated by a single-family dwelling is defined as twelve
(12) vehicle trips to and/or from the dwelling per twenty-four
(24) hour period.
The home occupation shall not use or necessitate delivery of finished products by commercial or business vehicles from the dwelling.
All vehicles shall at all times be parked off street.
h. The home occupation shall not produce noise, noxious odors, vibrations, glare, fumes or electrical interference detectable to normal sensory perception outside the dwelling.
i. Plan Review Required — Compliance Required Upon Notice.
All persons desiring to have a home occupation after May 10, 1999, must first present appropriate plans for review and approval by the Administrative Officer.
Any home occupation existing prior to May 10, 1999, which does not comply with the restrictions shall be brought into compliance within thirty
(30) days of the mailing by the Administrative Officer of written notice of the deficiency.
It shall be unlawful to fail to comply with the above restrictions after such notice.
8. Public police and fire stations.
9. Public administrative buildings.
10. Public libraries.
11. Public museums.
12. Public parks and playgrounds, including public recreation or service buildings within such parks."
