chapter_no,heading_1,heading_2,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Article I Introduction and Authority,§ 199-1.1 Title.,sub-sec-1.1,https://ecode360.com/36022845,https://zoneomics.com/code/3692/chapter_1#1.1,False,0,"This chapter shall be known as the ""Zoning Bylaw of the Town of Lee, Massachusetts,"" hereinafter referred to as ""this chapter."""
1,Article I Introduction and Authority,§ 199-1.2 Authority.,sub-sec-1.2,https://ecode360.com/36022846,https://zoneomics.com/code/3692/chapter_1#1.2,False,0,"This chapter is adopted in accordance with the provisions of MGL c. 40A, as amended."
1,Article I Introduction and Authority,§ 199-1.3 Purpose.,sub-sec-1.3,https://ecode360.com/36022847,https://zoneomics.com/code/3692/chapter_1#1.3,False,0,"The purpose of this chapter is to regulate the use of land, buildings and structures to the full extent of the Town's independent constitutional powers as necessary to protect the health, safety and general welfare of the present and future inhabitants of the Town.
Protection of these interests shall include but not be limited to the following objectives:
A. To prevent overcrowding of land; to secure safety from fire, flood, panic and other dangers and to lessen congestion in the streets.
B. To facilitate the adequate provision of transportation, water supply, drainage, sewerage, schools, parks, open space and other public requirements.
C. To conserve the value of land and buildings, including the conservation of natural resources and the prevention of blight and pollution of the environment.
D. To encourage the most appropriate use of land and bodies of water, including due consideration of:
(1) Protection of significant natural, scenic and aesthetic features.
(2) Conservation of natural resources and historic sites.
(3) The objectives of the Town's Master Plan and growth policy.
(4) The objectives of the Comprehensive Plan of the Berkshire Regional Planning Commission.
E. To preserve and increase amenities by the promulgation of these regulations to fulfill the above objectives in cooperation with other Town agencies and measures they have taken under other legislative and Town authority."
2,Article II Establishment of Districts,§ 199-2.1 Types of districts.,sub-sec-2.1,https://ecode360.com/36022859,https://zoneomics.com/code/3692/chapter_2#2.1,False,0,"For the purpose of this chapter, the Town of Lee is hereby divided into the following types of use districts:
A. Residential.
(1) Residential 20 District (R-20).
(2) Residential 30 District (R-30).
(3) Residential-Agricultural District (RA).
(4) Residential-Multiple Dwelling District (RM).
(5) Conservation-Residential District (CR).
B. Business.
(1) (Reserved)[1] Former
§ 199-2.1B(1), Business-Multiple Dwelling District, was repealed
3-24-2022 STM by
Art. 11. (2) Rural Business District (RB).
(3) Planned Commercial Village Center (PCVC).
(4) Commercial Business Corridor District (CBC).
(5) Downtown Commercial Business Corridor (DCBC).
C. Industrial.
(1) Industrial District (I).
(2) Office Park and Light Industrial District (OPLI)."
2,Article II Establishment of Districts,§ 199-2.2 Types of overlay districts.,sub-sec-2.2,https://ecode360.com/36022875,https://zoneomics.com/code/3692/chapter_2#2.2,False,0,"For the purposes of this chapter, the Town of Lee has established the following overlay districts:
A. Floodplain (FP).
B. Adaptive Reuse (AROD).
C. Smart Growth (SGOD)."
2,Article II Establishment of Districts,§ 199-2.3 Purpose of districts.,sub-sec-2.3,https://ecode360.com/36022878,https://zoneomics.com/code/3692/chapter_2#2.3,False,0,"The purpose of the districts noted below shall be as follows:
A. OPLI.
The purpose of the OPLI District is to:
(1) Provide an attractive setting for office, research and development and light industrial uses.
(2) Promote job creation along with growth in the Town's tax base.
(3) Maintain aesthetic sensitivity and compatibility with the surrounding community.
(4) Ensure the efficient use of municipal services so that new industrial development does not create a burden on these services.
(5) Minimize the overall impact of development on the immediate environment.
(6) Maximize the use of the site's natural characteristics.
B.
I. The purpose of the Industrial District (I) is to provide locations for manufacturing and other activities which will:
(1) Promote job creation and employment opportunities along with positive growth in the Town's tax base.
(2) Promote economic development.
(3) Encourage reuse of existing buildings, facilities and infrastructure.
(4) Assist in the preservation of open space, Town character and its environment.
C. PCVC.
The purpose of the PCVC District is to:
(1) Provide an attractive setting for large commercial retail and/or office or institutional structures in a village atmosphere.
(2) Promote job creation along with growth in the Town's tax base.
(3) Maximize the use of the site's natural characteristics.
(4) Maintain aesthetic sensitivity and compatibility with the surrounding community.
(5) Minimize the overall impact of development on the immediate environment, neighborhood and community.
D. CBC.
(1) It is the intent of this district to create an attractive and desirable entrance to the center of Lee that preserves the existing historical architectural character of the corridor and the surrounding area and that encompasses the highway corridor from the Massachusetts Turnpike, Exit 2 west, on U.S. Route 20 to High Street.
A mix of commercial and residential uses is permitted, with restrictions on building size and parking locations.
Landscaping requirements are mandated in the front setback.
In order to limit access points on Route 20, access on other streets and the use of common parking areas and driveways are encouraged.
(2) Additionally, the Town of Lee's intent for the Commercial Business Corridor District is to:
(a) Encourage types of uses such as real estate, insurance and finance.
(b) Preserve and/or reuse existing buildings and uses.
(c) Provide an attractive setting for commercial retail structures in a village atmosphere.
(d) Promote job creation along with growth in the Town's tax base.
(e) Maximize the use of the site's natural characteristics.
(f) Maintain aesthetic sensitivity and compatibility with the surrounding community.
(g) Minimize the overall impact of development on the immediate environment and neighborhood and, in particular, reduce the impact of traffic and parking along the corridor.
E. DCBC.
(1) It is the intent of this district to preserve the architectural and commercial character of the historic downtown from Park Street through Center Street.
A mix of commercial and residential uses is permitted, with restrictions on building height, parking locations and setbacks.
(2) Additionally, the Town of Lee's intent for the Downtown Commercial Business Corridor is to:
(a) Encourage downtown commercial uses which will primarily serve the needs of the people of Lee and the surrounding communities and, secondarily, attract visitors to utilize the downtown.
(b) Maintain the historic ""real town"" scale and mix of retail and service establishments in the town center.
(c) Attract new investment and help create new jobs in the downtown.
(d) Improve the safety and comfort for pedestrians in the downtown.
(e) Encourage rehabilitation of existing structures and development of new buildings with high architectural standards which are compatible with the eclectic grouping of commercial and public buildings and which give downtown Lee its special character as a working New England town center."
2,Article II Establishment of Districts,§ 199-2.4 Location of districts; Zoning Map.,sub-sec-2.4,https://ecode360.com/36022914,https://zoneomics.com/code/3692/chapter_2#2.4,False,0,"A.
The location and boundaries of these districts are hereby established as shown on a map entitled ""Zoning Map of Lee, Massachusetts"" dated October 28, 2011, bearing the signature of the members of the Planning Board and on file in the office of the Town Clerk, which map, with all explanatory matter thereon, is hereby made a part of this chapter.
B. Where a street constitutes a zone boundary, the center line of that street is the boundary."
2,Article II Establishment of Districts,§ 199-2.5 Lots in two or more zones.,sub-sec-2.5,https://ecode360.com/46164225,https://zoneomics.com/code/3692/chapter_2#2.5,False,0,"
A. Where portions of a lot are contained in two or more zoning districts, the Planning Board by special permit may allow a frontage use to be extended to an additional rear portion of not more than 50 feet, subject to the dimensional and use regulations of the frontage parcel.
B. Definitions.
(1) “Lot” means any parcel in town, but excludes any parcel created by merger of two or more parcels after
2022.
(2) “Frontage use” means a use allowed by right or by special permit on that portion of a lot that has the required road frontage.
C. The procedures for special permits in § 199-13.4 shall apply, including notice and voting.
The Planning Board may grant such a special permit only after:
(1) It finds that the frontage use is allowed by right or by special permit for the portion of the lot with all the required road frontage; and
(2) It makes the five findings otherwise required for a special permit under § 199-13.4I."
3,Article III Special Overlay Districts,§ 199-3.1 Adaptive Reuse Overlay District (AROD).,sub-sec-3.1,https://ecode360.com/36022918,https://zoneomics.com/code/3692/chapter_3#3.1,False,0,"A.
Purpose of district.
The purpose of the Adaptive Reuse Overlay District (AROD) is to:
(1) Provide specific regulations allowing for the reuse of privately owned buildings, municipal buildings, and public and private school buildings and as defined in § 199-3.1B below.
(2) Allow for the reuse of existing buildings as defined above throughout the Town to increase the Town's overall tax base, create employment opportunities and ensure efficient use of municipal services so as to not create an undue burden on them.
(3) Ensure that such uses are compatible with their surroundings.
(4) Maximize the use of the site's natural characteristics.
B. Eligibility for conversion.
(1) Privately owned buildings, municipal buildings or public or private school buildings as defined in Subsection B(1)(a) and (b) below and located in any zoning district are eligible for conversion to those uses listed in § 199-3.1D of this chapter, but only if they meet all of the following tests:
(a) They were used for not less than 15 years.
(b) They contain not less than 10,000 square feet in total gross floor area.
C. Scope of authority.
(1) The AROD is superimposed over rather than replacing the underlying zoning districts.
The regulations of this overlay district shall govern all reconstruction or expansion of privately owned buildings, municipal buildings and public and private school buildings as defined in § 199-3.1B above.
Provisions of § 199-3.1 shall supersede those of
Article IV, Use Regulations, and
Article V, Intensity Regulations, in this chapter.
On all other matters, the provisions of the underlying districts shall continue.
(2) The special permit granting authority for this section shall be the Board of Selectmen.
The Board of Selectmen shall require that any application for a special permit under this section shall be accompanied by a site plan in accordance with § 199-13.3 of this chapter.
D. Uses permitted.
(1) Uses allowed by right.
Any uses permitted by right in the underlying zoning district in which the structure is located shall be permitted by right.
(2) Uses allowed by special permit.
The following uses are allowed by special permit and subject to site plan review:
(a) Assisted living.
(b) Senior housing.
(c) Nursing home.
(d) Multiple dwelling.
(e) Professional or administrative offices.
(f) Elder care facility.
(g) Community recreational center or personal training centers.
(h) Medical clinic, dental office, veterinarian office, and ancillary offices and facilities.
(i) Senior center, community center or conference center with meeting rooms.
(j) Studios for art, drama, speech or dance.
(k) Retail sales where the sales area is not more than 10% of the total floor space of primary use and such sales are incidental to the primary use.
(l) Research and development uses, including ancillary office use and electronic and computer laboratories, but not including ancillary manufacturing, assembly, sale or resale or storage for sale or resale of any goods, items, or material.
(m) Municipal use.
(3) Multiple or mixed uses.
Any combination of uses allowed by right in § 199-3.1D(1) and uses allowed by special permit in § 199-3.1D(2) may be allowed, provided they are compatible with each other and maintain the public health, safety and welfare of the community.
(4) Uses required by MGL c. 40A, § 3, such as public and private nonprofit religious and educational institutions, are allowed in the AROD by right subject to site plan review.
(Refer to § 199-9.6, Land or structures for certain religious or educational purposes.)
E. Development standards.
(1) The lot area, lot frontage, coverage and setback requirements of the underlying districts shall govern development in the AROD.
The SPGA may waive these requirements if the building meets the eligibility requirements in § 199-3.1B and the reuse of the building necessitates enhancements, which are not designed to increase the building capacity, but are required to make the building functional for the intended new use (i.e., lighting, elevator, railings, heating and cooling ducts, etc.)
and the converted premises will be adequately landscaped in a way that promotes harmony with the neighborhood.
(2) Off-street parking spaces and loading and unloading spaces shall conform to the provisions of
Article VIII.
The SPGA may grant waivers if existing parking does not meet current parking requirements and additional space would be a detriment to the compatibility of the use with neighborhood character.
(3) All proposed signs shall comply with
Article VII of this chapter, excepting that if the building and land on which situated are located in a single-family district, the special permit granting authority may permit a sign of no larger than six square feet which identifies only the building and its occupants.
F. Additional conditions.
(1) The SPGA may attach such additional conditions and limitations to a special permit granted under this section as may be necessary to protect the neighborhood surrounding the property, and as may be necessary to encourage the most appropriate use of the land and building to be converted."
3,Article III Special Overlay Districts,§ 199-3.2 Floodplain District.,sub-sec-3.2,https://ecode360.com/36022955,https://zoneomics.com/code/3692/chapter_3#3.2,False,0,"A.
Purpose.
The purposes of the Floodplain District are to protect the public health, safety and general welfare; to protect human life and property from hazards of periodic flooding; to preserve the natural flood-control characteristics and flood storage capacity of the floodplain; and to preserve and maintain the groundwater table and water recharge areas within the floodplain.
B. District delineation.
(1) The general boundaries of the Floodplain District are shown on the Lee Flood Insurance Rate Map (FIRM) dated June 1, 1982, as Zones A and A1-30 to indicate the 100-year floodplain.
The exact boundaries of the district are defined by the 100-year water surface elevations shown on the FIRM and further defined by the flood profiles contained in the Flood Insurance Study dated June 1, 1982. The floodway boundaries are delineated on the Town of Lee Floodway Boundary Floodway Map (FBFM) dated June 1, 1982, and further defined by the floodway data tables contained in the Hood Insurance Study.
These two maps, as well as the accompanying study, are incorporated herein by reference and are on file with the Town Clerk, Conservation Commission, Planning Board, Building Commissioner and the Board of Selectmen.
(2) Within Zone A, where the 100-year flood elevation is not provided on the FIRM, the developer/applicant shall obtain any existing flood elevation data, and it shall be reviewed by the Building Commissioner.
If the data is sufficiently detailed and accurate, it shall be relied upon to require compliance with this chapter and the State Building Code.
C. Use regulations.
The Floodplain District is established as an overlay district to all other districts.
All development, including structural and nonstructural activities, whether permitted by right or special permit, must be in compliance with MGL c. 131, § 40, and with the requirements of the Massachusetts State Building Code pertaining to construction in the floodplain.
(1) Permitted uses.
The following uses of low flood damage potential and causing no obstructions to flood flows shall be allowed, provided that they are permitted in the underlying district or in
Article IX, Supplemental Use Regulations.
The following uses must not require permanent structures, fill or permanent storage of materials or equipment:
(a) Agricultural uses such as farming, grazing, truck farming, horticulture, etc.
(b) Forestry and nursery uses.
(c) Outdoor recreational uses, including fishing, boating, play areas, etc.
(d) Conservation of water, plants and wildlife.
(e) Wildlife management areas and footpaths, bicycle paths and/or horse paths.
(f) Temporary nonresidential structures used in connection with fishing, boating, play areas, growing, harvesting, storage or sale of crops raised on the premises.
(g) Buildings lawfully existing prior to the adoption of these provisions.
(2) Special permits.
No structure or building shall be erected, constructed, substantially improved or otherwise created or moved, and no earth or other materials shall be dumped, filled, excavated or transferred unless a special permit is granted by the Zoning Board of Appeals.
Said Board may issue a special permit hereunder
(subject to other applicable provisions of this chapter) if the application is compliant with the following provisions:
(a) The proposed use shall comply in all respects with the provisions of the underlying district.
(b) Within 10 days of receipt of the application, the Board shall transmit one copy of the development plan to the Conservation Commission, Planning Board, Board of Health, Building Commissioner and Board of Public Works.
Final action shall not be taken until reports have been received from the above Boards or until 35 days have elapsed.
(c) All encroachments, including fill, new construction, substantial improvements to existing structures and other developments, are prohibited unless certification by a registered professional engineer is provided by the applicant, demonstrating that such encroachment shall not result in an increase in flood levels during the occurrence of the 100-year flood.
(d) The Board may specify such additional requirements and conditions it finds necessary to protect the health, safety and welfare of the public and the occupants of the proposed use.
(e) In Zone AO, any new construction and any substantial improvements to existing buildings or structures must, in addition to the above requirements, comply with the following: [1] Residential structures shall have the lowest floor (including basement) elevated above the crown of the nearest street to or above the depth number specified on the Town of Lee FIRM.
[2] Nonresidential structures shall have the lowest floor (including basement) elevated above the crown of the nearest street or above the depth number specified on the community's FIRM or be floodproofed to or above that level.
The term ""floodproofed"" is defined to mean watertight with walls substantially impermeable to the passage of water and with structural components having the capability of resisting hydrostatic and hydrodynamic loads and effects of buoyancy."
