chapter_no,heading_1,heading_2,heading_3,heading_4,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Chapter 1 SUBDIVISIONS, , , ,sub-sec-1,https://ecode360.com/42653609,https://zoneomics.com/code/72/chapter_1#1,False,0,"Note:
Former
Article 12, comprised of
Sections 10-1.1201 through 10-1.1206, codified from Ordinance No.
2114 c.s., effective January 26, 1974, was renumbered as
Article 13,
Sections 10-1.1301 through
10-1.1306 by Ordinance No.
2526 c.s., effective February 2, 1989."
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.101 Authority., ,sub-sec-1.1.1,https://ecode360.com/42653229,https://zoneomics.com/code/72/chapter_1#1.1.1,False,0,"The provisions of this chapter are enacted pursuant to the provisions of
Section 11 of
Article XI of the Constitution of the State and the general laws of the State, including the
Subdivision Map Act.
The provisions of this chapter are in addition to the regulations of the
Subdivision Map Act and are supplemental thereto.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.102 Purpose and intent., ,sub-sec-1.1.2,https://ecode360.com/42653230,https://zoneomics.com/code/72/chapter_1#1.1.2,False,0,"The purpose of this chapter, and any rules, regulations, and specifications adopted pursuant thereto, is to control and regulate the division of any land, building, or air space for any purpose whatsoever within the City.
This chapter includes condominium project subdivisions and community apartment project subdivisions and, when appropriate to the context, relates to the process of further subdividing the land, building, or air space involved.
In addition, the purpose of this chapter is to impose additional conditions and processing procedures on condominium subdivisions over and above what would be applied to conventional land subdivisions because, as set forth in
Section 10-2.1608 of
Article 4 of
Chapter 2 of this title, a condominium project is a different land use than that permitted in a conventional land subdivision and, according to the Zoning Ordinance of the City, requires a conditional use permit for its establishment.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 2, Ord.
2772 c.s., eff.
August 1, 1996)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.103 General responsibilities: Subdividers., ,sub-sec-1.1.3,https://ecode360.com/42653231,https://zoneomics.com/code/72/chapter_1#1.1.3,False,0,"The subdivider shall prepare maps consistent with the design standards and accomplish improvements consistent with the improvement standards contained in this chapter and shall process such maps through the Commission and Council in accordance with the regulations set forth in this chapter.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.104 General responsibilities: Community Development Director., ,sub-sec-1.1.4,https://ecode360.com/42653232,https://zoneomics.com/code/72/chapter_1#1.1.4,False,0,"The Community Development Director shall stamp the date and time received and be responsible for design analysis and the expeditious processing of such maps and the prompt referral thereof to governmental agencies and affected utility companies.
The Community Development Director shall be further responsible for reporting to the Commission and the Council that the proposed subdivision is consistent with the General Plan and with the standards as set forth in this chapter.
All references to the Community Development Director include designated deputies of the Community Development Director, unless otherwise indicated.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 2, Ord.
2772 c.s., eff.
August 1, 1996, and § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.105 General responsibilities: City Engineer., ,sub-sec-1.1.5,https://ecode360.com/42653233,https://zoneomics.com/code/72/chapter_1#1.1.5,False,0,"The City Engineer shall be responsible for reporting to the Commission and the Council that the proposed improvements are consistent with the regulations set forth in this chapter relating to technical engineering requirements and improvements to the public right-of-way, and shall be further responsible for the supervision and ultimate approval of all such improvements.
All references to the City Engineer include designated deputies of the City Engineer, unless otherwise indicated.
(§ 1, Ord.
2114 c.s, eff.
January 26, 1974, as amended by § 2, Ord.
2772 c.s., eff.
August 1, 1996)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.106 General responsibilities: Commission., ,sub-sec-1.1.6,https://ecode360.com/42653234,https://zoneomics.com/code/72/chapter_1#1.1.6,False,0,"The Commission shall act as the Advisory Agency to the Council and shall be charged with the duty of making investigations and reports on the design and improvement of proposed subdivisions and the conformance of such subdivisions with the General Plan and the provisions of this chapter.
The Commission shall report its actions and recommendations concerning the tentative map directly to the subdivider.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.107 General responsibilities: Council., ,sub-sec-1.1.7,https://ecode360.com/42653235,https://zoneomics.com/code/72/chapter_1#1.1.7,False,0,"The Council, being the legislative body, shall have the sole jurisdiction in the approval of final subdivision maps, the adoption of design and improvement standards, and the acceptance of such lands and/or improvements proposed for dedication as may result from the subdivision process.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 1 General Provisions,§ 10-1.108 Other public agencies., ,sub-sec-1.1.8,https://ecode360.com/42653236,https://zoneomics.com/code/72/chapter_1#1.1.8,False,0,"Since the provisions of some public facilities and utilities are vested in special districts and other governmental agencies and utility companies, whose jurisdiction includes the City and contiguous surrounding area and whose services will be required in those areas which are subdivided pursuant to the regulations set forth in this chapter, the Community Development Director shall, at his or her discretion, coordinate the dissemination of information to such agencies for their information and possible action as an integral part of the subdivision process.
The Commission shall consider any written reports of such agencies and companies and shall take into account the requirements of such groups in recommending approval, conditional approval, or disapproval of the proposed subdivision.
Distribution may include the following:
(a) The County Planning Commission; (b) The Planning Commission of any other City within one mile of the subdivision; (c) The District Engineer of the
Division of Highways of the State; (d) The County Health Officer; (e) The County Engineer; and (f) The Los Angeles County Flood Control and Water Conservation District.
|  |
| --- |
| The list set forth in this section is not intended to prevent the circulation of the proposed tentative map and accompanying data to any other agency and/or utility affected by the proposed subdivision. | (§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 2 Compliance with Chapter Provisions and Map Act,§ 10-1.201 Compliance required., ,sub-sec-1.2.1,https://ecode360.com/42653244,https://zoneomics.com/code/72/chapter_1#1.2.1,False,0,"It is unlawful for any person, as principal, agent, or otherwise, to divide or subdivide into two or more parcels of land, or to sell, lease, convey, quitclaim, or transfer by contract, deed, or any other manner, or alter such division or subdivision to offer for sale or lease any land, or any part thereof, whether improved or unimproved, in the City unless and until all of the applicable requirements set forth in this chapter shall have been complied with.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
