chapter_no,heading_1,heading_2,heading_3,heading_4,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Chapter 1 SUBDIVISIONS,Article 2 Compliance with Chapter Provisions and Map Act,§ 10-1.202 Evasive acts., ,sub-sec-1.2.2,https://ecode360.com/42653245,https://zoneomics.com/code/72/chapter_1#1.2.2,False,0,"It is unlawful for any person, as principal, agent, or otherwise, for the purpose of evading or nullifying the provisions of this chapter, to knowingly allow a transfer of title to property, or any part thereof, to take place by adverse possession or prescription, or to conspire or collude with another or others to effect a successive series of subdivisions of a larger parcel into smaller parcels, or to become a party to a friendly or sham lawsuit or litigation which would cause or permit a transfer of title to any land, or part thereof, whether improved or unimproved, in the City, or to do or perform any other act or wilfully omit to do any act for the purpose of evading or nullifying the provisions of this chapter.
(§ 1, Ord.
2114 c.s, eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 2 Compliance with Chapter Provisions and Map Act,§ 10-1.203 Transfer of property contrary to provisions void., ,sub-sec-1.2.3,https://ecode360.com/42653246,https://zoneomics.com/code/72/chapter_1#1.2.3,False,0,"Any deed, mortgage, or contract to sell made contrary to the provisions of this chapter shall be voidable at the sole option of the grantee, buyer, or person contracting to purchase or his or her heirs, personal representatives, or trustees in insolvency or bankruptcy within one year after the date of executing the deed, mortgage, or contract, but such deed, mortgage, or contract shall be binding upon any assignee or transferee of the grantee, buyer, or person contracting to purchase, other than those enumerated, and upon the grantor, vendor, or person contracting to sell, or his or her assignees, heirs, or devisees.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 2 Compliance with Chapter Provisions and Map Act,§ 10-1.204 Buildings not to be constructed on illegally subdivided land., ,sub-sec-1.2.4,https://ecode360.com/42653247,https://zoneomics.com/code/72/chapter_1#1.2.4,False,0,"No permit shall be issued for the construction of, or alteration to, any building or structure located or to be located on land which is subdivided in violation of the provisions of the Map Act or this chapter until such time as the Map Act and this chapter are complied with.
(§ 1, Ord.
2114 c.s.
eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 2 Compliance with Chapter Provisions and Map Act,§ 10-1.205 Violations: Penalties., ,sub-sec-1.2.5,https://ecode360.com/42653248,https://zoneomics.com/code/72/chapter_1#1.2.5,False,0,"Any person, firm, or corporation violating any of the provisions of this chapter shall be deemed guilty of a misdemeanor and, upon conviction thereof, shall be punishable as set forth in
Chapter 2 of Title 1 of this Code.
(§ 1, Ord.
2114 c.s, eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 3 Definitions,§ 10-1.301 Definitions., ,sub-sec-1.3.1,https://ecode360.com/42653250,https://zoneomics.com/code/72/chapter_1#1.3.1,True,1,"For the purposes of this chapter, the words and phrases set forth in this chapter shall have the meanings respectively ascribed to them in this section.
Whenever any words or phrases in this chapter are not defined in this section, but are defined in the
Subdivision Map Act of the State or in the Zoning Ordinance, such definitions are incorporated herein and shall apply to such words and phrases, unless the context clearly indicates a contrary intent.
""Block"" shall mean an area of land within a subdivision which area is entirely bounded by streets, highways, or ways, except alleys, or the exterior boundary or boundaries of the subdivision.
""City"" shall mean the City of Redondo Beach.
""Commission"" shall mean the Planning Commission of the City, except that ""Commission"" shall mean the Harbor Commission for processing of applications within the Harbor-Pier area as defined in
Section 10-2.2512 of this title.
""Community apartment"" shall mean one residential unit within a community apartment project.
For the purposes of this chapter, ""community apartment"" shall mean the same thing and shall be treated in the same manner as a residential condominium unit as defined in the Zoning Ordinance (
Section 10-2.402 of
Chapter 2 of this title).
""Community apartment project,"" for the purposes of this chapter shall mean the same thing and shall be treated in the same manner as a residential condominium project as defined in the Zoning Ordinance (
Section 10-2.402 of
Chapter 2 of this title).
""Condominium"" shall mean the same thing and shall be treated in the same manner as a condominium as defined in the Zoning Ordinance (
Section 10-2.402 of
Chapter 2 of this title).
""Condominium project"" shall mean the same thing and shall be treated in the same manner as a condominium project as defined in the Zoning Ordinance (
Section 10-2.402 of
Chapter 2 of this title).
""Council"" shall mean the City Council of the City.
""County Engineer"" shall mean the Los Angeles County Engineer.
""General Plan"" shall mean the current General Plan of the City and all elements thereof and any amendments thereto.
""Lot"" shall mean:
(1) A parcel of real property with a separate and distinct number or other designation shown on a plat recorded in the office of the County Recorder as a part of an approved subdivision; or
(2) A parcel of real property delineated on a record of survey, lot split, or subparceling map approved by the City; or
(3) A parcel of real property abutting at least one public street or right-of-way and held in separate ownership from adjacent or abutting property prior to September 9, 1964, provided such parcel contains 5,000 square feet or more of lot area; or
(4) A parcel of real property abutting at least one public street and held under separate ownership prior to September 27, 1948, having less than 5,000 square feet in lot area.
""Map Act"" or ""Subdivision Map Act"" shall mean the
Subdivision Map Act of the State (Division 2, Title 7, of the Government Code of the State).
""Minor subdivision"" shall mean any real property, improved or unimproved, or portion thereof, shown on the latest equalized County assessment roll as a unit or as contiguous units, which property is divided for the purpose of transfer of title, sale, lease, financing, or separate use into two, three, or four lots, parcels, or condominiums, community apartments, stock cooperatives, or other divisions of real property.
""Minor subdivision"" shall include the reconfiguration of existing lots or parcels and/or the realignment of existing property lines but shall not include:
(1) Land dedicated for cemetery purposes under the Health and Safety Code of the State;
(2) The leasing of apartments, offices, stores, or similar space within an apartment building, industrial building, commercial building, or trailer park;
(3)
Division by agricultural, gas, oil, or mineral leases;
(4) The leasing of buildings for commercial or industrial purposes;
(5) The leasing of vehicle parking areas or the division of land for operating public utility purposes and the conveyance of land by a public utility to a contiguous ownership;
(6) The leasing or financing of land or buildings which serve as a functional unit of a hospital, school, or church;
(7) A division of land defined by the provisions of this chapter as a subdivision; or
(8) Divisions of land created by the acquisition of land by government agencies, including, but not restricted to, those divisions created by the opening or widening of a public street, flood control channel, or other public improvement by dedication, condemnation, or purchase.
Streets and highways.
(1) ""Collector street"" shall mean a street intermediate in importance between a local street and a major or secondary highway which has the purpose of collecting local traffic and carrying it to a highway."
1,Chapter 1 SUBDIVISIONS,Article 3 Definitions,§ 10-1.301 Definitions., ,sub-sec-1.3.1,https://ecode360.com/42653250,https://zoneomics.com/code/72/chapter_1#1.3.1,True,2,"(2) ""Cul-de-sac"" shall mean a street open at one end only and providing at the other end special facilities for the turning around of vehicular traffic.
(3) ""Freeway"" shall mean a thoroughfare designed for through traffic with no crossing at grade or access from abutting property and which provides for the movement of traffic in opposite directions on either side of a dividing strip.
(4) ""Frontage road"" shall mean a street adjacent to a highway or freeway and separated therefrom by a dividing strip and providing ingress and egress from abutting property.
(5) ""Minor residential street,"" ""industrial service street,"" and ""local street"" shall mean a street intended wholly or principally for local neighborhood traffic or service to abutting property.
(6) ""Major highway"" and ""secondary highway"" shall mean a vehicular route so designated on the General Plan or any other vehicular route so designated by the Council on the recommendation of the Commission.
(7) ""Private street"" shall mean any parcel of land not dedicated as a public street and used, or intended to be used, for ingress and egress from a lot which may or may not have frontage on a public street.
(8) ""Service alley"" or ""alley"" shall mean a street providing only secondary access to abutting property.
""Stock cooperative,"" for the purposes of this chapter shall mean the same thing and shall be treated in the same manner as a residential condominium project as defined in the Zoning Ordinance (
Section 10-2.402 of
Chapter 2 of this title).
""Subdivider"" shall mean any individual, firm, association, syndicate, copartnership, corporation, trust, or any other legal entity commencing proceedings under this chapter to effect a division of land into two or more parcels, lots, condominiums, community apartments, stock cooperatives, or other divisions of real property for himself or others.
""Subdivision"" shall mean the division of any improved or unimproved land, shown on the latest equalized County assessment roll as a unit or as contiguous units, for the purpose of sale, lease, or financing, whether immediate or future, by any subdivider into five or more lots, parcels, condominiums as defined in
Section 1350 of the Civil Code of the State, community apartments as defined in
Section 11004 of the Business and Professions Code of the State, stock cooperatives as defined in
Section 11003.2 of said Business and Professions Code, or any other similar division of real property.
Property shall be considered as contiguous units even if it is separated by roads, streets, utility easements, or railroad rights-of-way.
Any conveyance of land to a governmental agency, public entity, or public utility shall not be considered a division of land for any purpose.
""Subdivision"" shall not, however, include:
(1) Land dedicated for cemetery purposes under the Health and Safety Code of the State;
(2) The leasing of apartments, offices, stores, or similar space within an apartment building, industrial building, commercial building, or trailer park;
(3) Divisions by agricultural, gas, oil, or mineral leases;
(4) The leasing of buildings for commercial or industrial purposes;
(5) The leasing of vehicle parking areas or the division of land for operating public utility purposes and the conveyance of land by a public utility to a contiguous ownership;
(6) The leasing or financing of land or buildings which serve as a functional unit of a hospital, school, or church;
(7) Divisions of land created by the acquisition of land by government agencies, including, but not restricted to, those divisions created by the opening or widening of a public street, flood control channel, or other public improvement by dedication, condemnation, or purchase.
""Subdivision Improvement Standards"" shall mean those ""standard details,"" ""standard specifications,"" and other standards adopted by the Council which shall govern the improvement of public highways, thoroughfares, streets, and rights-of-way to be constructed pursuant to the provisions of this chapter and the Map Act.
""Tentative map"" refers to a map made for the purpose of showing the design and improvement of a proposed subdivision and the existing conditions in and around it and need not be based upon an accurate or detailed final survey of the property.
""Undeveloped or partially developed subdivision or minor subdivision"" shall mean an approved subdivision or minor subdivision, as defined in this chapter, which is shown on a tract map, parcel map, or other official record approved by the City and recorded with the County Recorder but which contains lots or parcels that were not yet developed with permanent buildings, structures, or other facilities on December 26, 1962.
""Zoning Ordinance"" shall mean
Chapter 2 of Title 10 of the Municipal Code.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § § 1 and 2, Ord.
2139 c.s., eff.
April 16, 1975, § § 1, 2, and 3, Ord.
2255 c.s., eff.October 18, 1978, § 1, Ord.
2432 c.s., eff.
January 2, 1986, and § 3, Ord.
2772 c.s., eff.
August 1, 1996)"
1,Chapter 1 SUBDIVISIONS,Article 4 Subdivision Conferences,§ 10-1.401 Establishment of Subdivision Committee., ,sub-sec-1.4.1,https://ecode360.com/42653300,https://zoneomics.com/code/72/chapter_1#1.4.1,False,0,"A
Subdivision Committee is hereby established which shall consist of the Community Development Director and the City Engineer.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 4, Ord.
2772 c.s., eff.
August 1, 1996, and § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 4 Subdivision Conferences,§ 10-1.402 Reviews by Subdivision Committee., ,sub-sec-1.4.2,https://ecode360.com/42653301,https://zoneomics.com/code/72/chapter_1#1.4.2,False,0,"Prior to the filing of the tentative map, the subdivider shall submit to the Community Development Director plans and other information concerning any proposed subdivision and its contemplated development.
Within 21 days following such submission, the Community Development Director shall schedule a conference between the
Subdivision Committee and the subdivider at which time the Committee shall make such general recommendations to the subdivider as it deems proper regarding such plans or data and may recommend consultations by the subdivider with other affected agencies.
The
Subdivision Committee shall furnish a written copy of its recommendations to the subdivider.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 4, Ord.
2772 c.s., eff.
August 1, 1996, and § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.501 Application., ,sub-sec-1.5.1,https://ecode360.com/42653303,https://zoneomics.com/code/72/chapter_1#1.5.1,False,0,"(a) The applicant shall file with the Planning
Division a completed application for a tentative map in a form provided by the Planning Division.
(b) The owner of record of the lot or parcel of property which is to be affected by the application shall file an affidavit authorizing the application on a form provided by the Planning Division.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 3, Ord.
2139 c.s., eff.
April 6, 1975, and § 4, Ord.
2772 c.s., eff.
August 1, 1996)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.502 Fees., ,sub-sec-1.5.2,https://ecode360.com/42653306,https://zoneomics.com/code/72/chapter_1#1.5.2,False,0,"The tentative map shall be accompanied by a filing fee as set forth by resolution of the City Council.
If additional tentative maps or requests covering the same tract and involving only minor revisions or amendments to the initial map are filed, no additional fee will be required.
However, a new fee as set forth by resolution of the City Council shall be required for any new tentative map filed after a previous tentative map has expired, or for any requested revision or amendment to a tentative map which the Community Development Director determines will involve substantial time by the City staff to process.
Any application for an extension of the time at which a tentative map expires shall be accompanied by a fee as set forth by resolution of the City Council.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 2, Ord.
2432 c.s., eff.
January 2, 1986, § 4, Ord.
2772 c.s., eff.
August 1, 1996, and § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.503 Distribution., ,sub-sec-1.5.3,https://ecode360.com/42653307,https://zoneomics.com/code/72/chapter_1#1.5.3,False,0,"Within three working days after the filing of an application for a tentative map, the Community Development Director shall transmit a copy of such map, together with the accompanying data, to such City departments and/or affected agencies and/or utilities which the Community Development Director determines have an interest in the proposed subdivision.
Such departments, agencies, and/or utilities, within 10 days after the application for the tentative map has been filed, may submit written reports of their findings and recommendations to the Planning Division.
The City Engineer shall prepare a written report of the recommendations on the tentative map in relation to the requirements of this chapter and other applicable regulations of the City or other agencies and shall submit the report to the Planning Division.
If the subdivision results in four or more parcels or condominium units on any lot or involves more than two adjacent lots, or it is otherwise determined to be appropriate, the Community Development Director shall forward the reports to the Commission within 15 days after the application for the tentative map has been filed.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 4, Ord.
2772 c.s., eff.
August 1, 1996, § 13, Ord.
2957 c.s., eff.
February 17, 2005, and § 1, Ord.
3107 c.s., eff.
February 8, 2013)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.504 Decisions and reports., ,sub-sec-1.5.4,https://ecode360.com/42653308,https://zoneomics.com/code/72/chapter_1#1.5.4,False,0,"(a)
Subdivision of not more than three parcels or 15 condominium units on any lot or combination of adjacent lots or any subdivision defined as an “Affordable Housing Project – Housing Element” located on an “Affordable Housing Site – Housing Element.” If the Community Development Director, or his/her assigned, finds that the map for a subdivision of not more than three parcels or 15 condominium units on any lot or combination of adjacent lots or any subdivision defined as an “Affordable Housing Project – Housing Element” located on an “Affordable Housing Site – Housing Element” meets the requirements of this chapter and the Map Act, the Community Development Director, or his/her assigned, shall approve a map of the subdivision within 50 days after the certification of the environmental impact report, adoption of a negative declaration, or a determination by the City that the project is exempt from the requirements of the California Environmental Quality Act.
If the Community Development Director, or his/her assigned, finds that the map does not meet the requirements of this chapter or the Map Act, the Community Development Director, or his/her assigned, shall disapprove or conditionally approve the map within such time.
Dedications and reservations of property and on-site and off-site improvements may be required by the Community Development Director, or his/her assigned, as a condition of approval as authorized by the
Subdivision Map Act and this chapter.
Written notice of the decision shall be given to the subdivider.
(1) Appeals to the Commission.
The decision of the Community Development Director shall be final and conclusive unless, within 10 days after the date of the written notice of decision, the subdivider files a written appeal with the Planning
Division requesting a public hearing before the Commission.
Notice of public hearing before the Commission to consider an appeal of the decision of the Community Development Director shall be mailed to the subdivider not less than 10 days prior to the date of such hearing.
The Commission shall hear the testimony of the subdivider or any witnesses on behalf of the subdivider and information provided by the Community Development Director.
The Commission may also hear the testimony of other persons interested in the matter.
Upon the conclusion of the hearing, or no later than the date of the next regular Commission meeting, the Commission shall declare its findings, based upon the testimony and documents before it.
The Commission may sustain, modify, reject, or overrule any action of the Community Development Director and may make such findings and determinations as are not inconsistent with the provisions of the Map Act or this chapter.
The action of the Commission may be appealed to the Council pursuant to
Section 10-1.506 of this article.
(b) Subdivisions of four or more parcels or creating 16 condominium units or more on any lot or combination of lots excluding any subdivision defined as an “Affordable Housing Project – Housing Element” located on an “Affordable Housing Site – Housing Element.” In the case of subdivisions of four or more parcels or creating 16 or more condominium units on any lot or combination of lots excluding any subdivision defined as an “Affordable Housing Project – Housing Element” located on an “Affordable Housing Site – Housing Element,” the Commission shall review the recommendations and, if it finds that the map meets the requirements of this chapter and the Map Act, the Commission shall approve the map of the subdivision within 50 days after certification of the environmental impact report, adoption of a negative declaration, or a determination by the City that the project is exempt from the requirements of
Division 13 (commencing with
Section 21000)
of the Public Resources Code, unless such time is extended by mutual agreement with the subdivider in accordance with Government Code
Section 65957. If the Commission finds that the map does not meet the requirements of this chapter or the Map Act, the Commission shall disapprove or conditionally approve the map within such time.
|  |
| --- |
| The Commission may require the subdivider to set aside, or may suggest to the subdivider the advisability of dedicating, suitable areas or parks, playgrounds, schools, and other public building sites which will be required for the use of the population which is intended to occupy the subdivision under the plan of proposed property uses herein. The purpose for the Commission's requirements or suggestions to the subdivider are to provide mitigation measures to improve the quality of residential, commercial, or industrial development in the community. In addition to the grounds set forth in the Map Act, the Commission may refuse to approve a map when the only practical use which can be made of the property proposed to be subdivided is a use prohibited by ordinance or law, or if the proposed subdivision lies within a known oil field area and such map does not include a plan deemed adequate by the Commission for the preservation of the health, safety, and general welfare of the public for the disposition and treatment of any existing or future oil field operations. | |  |
| --- |
| In the case of condominium subdivisions, such subdivisions shall be subject to the provisions of Article 12 of this chapter and Section 10-2.1608, Section 10-2.1610, and Section 10-2.2506 of Chapter 2 of this title, and Section 10-5.1608, Section 10-5.1610, and Section 10-5.2506 of Chapter 5 of this title. | (§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 4, Ord.
2139 c.s., eff.
April 16, 1975, § 4, Ord.
2772 c.s., eff.
August 1, 1996, § 13, Ord.
2957 c.s., eff.
February 17, 2005, § 1, Ord.
3107 c.s., eff.
February 8, 2013, Ord.
3281-24 c.s., eff.
December 12, 2024, and Ord.
3312-26 c.s., eff.
June 11, 2026)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.505 Notification of Commission action., ,sub-sec-1.5.5,https://ecode360.com/42653312,https://zoneomics.com/code/72/chapter_1#1.5.5,False,0,"The Commission shall be authorized to report directly to the subdivider, and such report shall include a written notice of its decision to approve, disapprove, or conditionally approve the tentative map.
One copy of such notice, together with proof of service, shall remain in the permanent file of the Commission.
One copy of such notice shall be transmitted to the Council for its information.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.506 Appeals to the Council., ,sub-sec-1.5.6,https://ecode360.com/42653313,https://zoneomics.com/code/72/chapter_1#1.5.6,False,0,"If a subdivider is dissatisfied with any action of the Commission with respect to a tentative map, he or she may appeal to the Council as provided in
Article 9 of this chapter.
Using the same procedure, the Council may itself request a public hearing on the tentative map.
If no appeal is filed within the period prescribed in
Article 9 of this chapter, the decision of the Commission shall become final and conclusive.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.507 Preparation., ,sub-sec-1.5.7,https://ecode360.com/42653314,https://zoneomics.com/code/72/chapter_1#1.5.7,False,0,"The subdivider shall cause the tentative map of the land proposed to be subdivided to be prepared by a person competent in the preparation of such maps.
Such tentative map shall be in full compliance with the requirements of this chapter and shall be certified as to accuracy by a registered civil engineer.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.508 Size and scale., ,sub-sec-1.5.8,https://ecode360.com/42653315,https://zoneomics.com/code/72/chapter_1#1.5.8,False,0,"The size of each sheet shall be 18 inches by 26 inches.
A marginal line shall be drawn completely around each sheet, leaving an entirely blank margin of one inch.
The scale of the map shall be approved by the Planning
Division and shall be large enough to show all details clearly, and enough sheets shall be used to accomplish that end.
The particular number of the sheet and the total number of sheets comprising the map shall be stated on each of the sheets, and its relation to each adjoining sheet shall be clearly shown.
(§ 1, Ord.
2114 c.s., eff.
January 26, 1974, as amended by § 4, Ord.
2772 c.s., eff.
August 1, 1996)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.509 Identity of subdividers., ,sub-sec-1.5.9,https://ecode360.com/42653316,https://zoneomics.com/code/72/chapter_1#1.5.9,False,0,"When a tentative map is submitted, the Commission may require the subdivider to show any of the following:
(a) That he is the owner of the property to be subdivided; (b) That he has an option or contract to purchase the entire property or that portion which he does not own; or (c) That he is the authorized agent of one who can comply with the requirements of subsections A or B of this section.
(§ 1, Ord.
2114 c.s.
eff.
January 26, 1974)"
1,Chapter 1 SUBDIVISIONS,Article 5 Tentative Maps,§ 10-1.510 Vicinity sketches., ,sub-sec-1.5.10,https://ecode360.com/42653320,https://zoneomics.com/code/72/chapter_1#1.5.10,False,0,"A vicinity sketch at a scale of 500 feet or less to the inch shall be drawn on or shall accompany the tentative map.
The vicinity sketch shall show the street and tract line of all existing subdivisions and the outline of acreage parcels of land within at least one-half (½) mile of the boundary of the proposed tract, together with the names and/or numbers of all tracts between it and the nearest existing highways or thoroughfares.
It may also be required to show the proposed land use and suggested street layout in any adjoining property in the same ownership and normally shall be required in the subdivision of small portions of large holdings.
The showing of proposed land uses and the suggested street layout shall take into consideration the most advantageous development of the entire area.
(§ 1, Ord.
2114 c.s.
eff.
January 26, 1974)"
