chapter_no,heading_1,heading_2,heading_3,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,Article I General Provisions,Section 405.010 through Section 405.040. (Reserved) [1], ,sub-sec-1.1,https://ecode360.com/27668870,https://zoneomics.com/code/6748/chapter_1#1.1,False,0,"Former Sections 400.010, Determination of Necessity; 400.020, Interpretation; 400.030, Enforcement; and 400.040, Permit Fees, were repealed
4-26-2021 by Ord.
No.
6220. The
Article title was not changed by the City, therefore retained in the Code to allow for future use as General Provisions."
2,Article II Definitions,Section 405.050 Definitions., ,sub-sec-2.1,https://ecode360.com/27668875,https://zoneomics.com/code/6748/chapter_2#2.1,True,1,"[R.O.
2009
§ § 17.02.010—17.02.720; Prior Codes
§ § 10-102(1—6) (8—9) (11—14) (18—19) (21—26)
(28) (30—31) (33—41) (44—45) (47—55) (57—58), 10-120; Ord.
No.
4888
§ 2, 2-3-1992; Ord.
No.
5883
§ §II—III, 7-2-2012; Ord.
No.
5961
§ §I—II, 8-25-2014; Ord.
No.
6158, 7-29-2019; Ord.
No.
6220, 4-26-2021; Ord.
No.
6295, 1-30-2023; Ord.
No.
6337, 3-4-2024] Generally for the purpose of this regulation, certain terms and words are to be used and interpreted as defined herein.
Words used in the present tense shall include the future tense; words in the singular number include the plural and words in the plural number include the singular except where the natural construction of the writing indicates otherwise.
The word ""shall"" is mandatory and not directory.
ACCESSORY BUILDING OR USE A subordinate building or use customarily incidental to the main building or use of the lot.
The accessory building or use shall not house a separate business nor involve the conduct of a separate business.
Such accessory building shall not be constructed in the required front or side yard of the principal structure.
These same restrictions shall apply to communication satellite dishes.
AGRICULTURE The use of land for agricultural purposes, including farming, dairying, pasturage, agriculture, horticulture, floriculture, viticulture, animal and poultry husbandry and the necessary accessory uses for packing, treating or storing of the produce; provided, however, that the operation of any such accessory uses shall be secondary to that of the normal agricultural activities.
The operation of commercial feed pens, sales yards, auction yards and agricultural marketing and processing establishments shall be deemed an industrial and not an agricultural use.
ALCOHOLIC BEVERAGES Beverages controlled by the Bureau of Alcohol, Tobacco and Firearms.
ALLEY A minor right-of-way, dedicated to public use, which affords a secondary means of vehicular access to the back or side of properties otherwise abutting a street and which may be used for public utility purposes.
Usually less than twenty
(20) feet in width.
APARTMENT See ""family unit.""
APARTMENT HOTEL A building containing both family units and non-family units in which services customarily furnished in hotels are available to the tenants.
APARTMENT HOUSE See ""dwelling, multiple.""
AUTOMOBILE GRAVEYARD Any establishment, area, or place of business maintained, used, or operated for storing, keeping, buying, or selling wrecked, scrapped, ruined, or dismantled motor vehicles or parts thereof.
BASEMENT A story having part but not more than one-half (1/2) of its height below grade.
A basement is counted as a story when the distance from finished grade to the finished surface of the floor above the basement is more than six
(6) feet for more than fifty percent (50%) of the total perimeter or more than twelve
(12) feet at any point.
BOARDING HOUSE A dwelling, other than a hotel, where, for compensation and prearrangement for definite periods, meals or lodging and meals are provided for three
(3) or more, but not exceeding twelve
(12) persons on a weekly or monthly basis.
BUILDABLE WIDTH OR DEPTH The width or depth respectively of that part of the lot not included within the open spaces required in this Title.
BUILDING Any structure having a roof supported by columns, piers or walls, designed and intended for the support, enclosure, shelter or protection of persons, animals or chattels.
When a structure is divided into separate parts by unpierced walls extending from the ground up, each part is deemed a separate building.
BUILDING LINE A line established by law or on a plat between which line and the street right-of-way, no portion of the building may be erected; nor shall a building extend past, subject, however, to the further requirements of the zoning ordinance of the City of Sikeston, Missouri.
CHILD DAY CARE CENTER A child day care center or center, whether known or incorporated under another title or name, is a child care program conducted in a location other than the provider's permanent residence, or separate from the provider's living quarters, and licensed by the Department of Health and Senior Services of the State of Missouri where care is provided for children not related to the child care provider for any part of the twenty-four-hour day.
CHURCH At a minimum, a church includes a body of believers or communicants that assembles regularly in order to worship.
Unless the organization is reasonably available to the public in its conduct of worship, its educational instruction, and its promulgation of doctrine, it cannot fulfill the associational role that courts have increasingly adopted as a threshold for determining when an organization qualifies as a church.
Other key factors to consider include whether the organization has a distinct legal existence, recognized creed and form of worship, definite and distinct ecclesiastical government, a formal code of doctrine and discipline, distinct religious history, membership not associated with any other church or denomination, organization of ordained ministers, ordained ministers selected after completing prescribed studies, literature of its own, established places of worship, regular congregations, and regular religious services.
No single factor is controlling but having regular meetings with a regular congregation should be weighted more heavily than some of the other factors.
The City may use a combination of these characteristics, together with other facts and circumstances, to determine whether an organization is considered a church for the purposes of this Chapter.
COURT An unoccupied space, open and uncovered at the top, wholly or partially enclosed by the walls of a building or group of buildings.
It may begin at the grade level or at the level of any floor of an adjacent building which it serves.
COURT, INNER A court entirely within a building or surrounded by walls or by walls and an interior lot line."
2,Article II Definitions,Section 405.050 Definitions., ,sub-sec-2.1,https://ecode360.com/27668875,https://zoneomics.com/code/6748/chapter_2#2.1,True,2,"It shall be not less than two and one-half (2 1/2) inches in width or length for each foot of its height and in no case shall its least dimension be less than five
(5) feet.
COURT, OUTER A court with at least one
(1) side open to a street, alley or yard.
It shall be not less than two
(2) inches in width or length for each foot of its height and in no case shall its least dimension be less than five
(5) feet.
CURB, LEVEL The mean level of the curb in front of the lot or in the case of a corner lot, along that abutting street where the mean curb level is the highest.
DAY CARE Care of a child away from his/her own home for any part of the twenty-four-hour day, for compensation or otherwise.
Day care is a voluntary supplement to parent responsibility for the child's protection, development and supervision.
Day care may be given in a day care home or day care center.
DAY CARE CENTER See definition for ""child day care center.""
DAY CARE HOME A family home, occupied as a permanent residence by the day care provider, in which family-like care is given to no more than ten
(10) children, not related to the day care provider, for any part of the twenty-four-hour day.
Must be licensed by and operated according to the rules established by the Missouri Department of Health and Senior Services.
Valid home occupation upon review.
DISTRICT A section or sections of the City for which the regulations governing the use of buildings and premises, the height of buildings and required open spaces are uniform.
DWELLING Any building or portion thereof which is designed or used exclusively for residential purposes.
DWELLING, ATTACHED A dwelling having any portion of a wall or walls in common with an adjoining dwelling or dwellings.
DWELLING, MULTIPLE A dwelling designed for or occupied by more than two
(2) families.
DWELLING, ROW HOUSE OR TOWN HOUSE Three
(3) or more dwelling units attached at the side or sides, each unit of which has a separate outdoor entrance and is designed to be occupied by one
(1) family.
DWELLING, SINGLE-FAMILY A detached or attached dwelling designed to be occupied by one
(1) family.
DWELLING, TWO-FAMILY A dwelling designed to be occupied by not more than two
(2) families living independently of each other.
FAMILY One
(1) or more individuals related by blood, marriage or adoption or not more than three
(3) individuals who are not so related, living together as a single housekeeping unit in a dwelling and maintaining or using the same and certain other housekeeping facilities in common, as distinguished from a group occupying a boarding house, lodging house or hotel as defined in this Chapter.
FAMILY UNIT A suite of one
(1) or more rooms having separate cooking facilities, used as the domicile or home of one
(1) family or household.
FRONTAGE All the property on one
(1) side of a street or place between two
(2) intersecting streets or places (crossing or terminating) or if the street or place is a dead end, then all of the property abutting on one
(1) side between an intersecting street or place and the dead end.
GARAGE, COMMUNITY Any building or premises, other than a public, private or storage garage, providing storage for power-driven vehicles, having no service facilities other than for washing; such garage to be in lieu of private garages for occupants of abutting properties.
GARAGE, PRIVATE An accessory building used exclusively for housing power-driven vehicles which are the property of and are used by the occupants of the lot on which the same is located.
GARAGE, PUBLIC Any building or premises used for the storage or care of power-driven vehicles where any such vehicles are equipped for operation, repaired or kept for remuneration, hire or sale.
GARAGE, STORAGE Any building or premises, except those defined as a community, private or public garage, providing storage of power-driven vehicles and having no service facilities other than for washing.
GROUP HOME Any home in which eight
(8) or fewer unrelated mentally or physically handicapped persons reside, and may include two
(2) additional persons acting as houseparents or guardians who need not be related to each other or to any of the mentally or physically handicapped persons residing in the home.
HEIGHT OF BUILDING The vertical distance measured from the highest of:
1. The curb level;
2. Mean street grade in case curb has not been constructed; and
3. The average level of the finished surface of the ground within ten
(10) feet of the building where the building sets back ten
(10) feet or more from the street line to the level of the highest point of the roof beams of flat roofs or roofs not inclining more than one
(1) inch to the foot and the mean height level between eaves and ridges for other roofs.
HEIGHT OF YARD OR COURT The vertical distance from the lowest level of such yard or court to the highest point of any boundary wall.
HOME OCCUPATION Any occupation carried on solely by the inhabitants of a dwelling which is clearly incidental and secondary to the use of the dwelling for dwelling purposes, which does not change the character thereof and which is conducted entirely within the main or accessory buildings; providing that no trading in merchandise is carried on and there is no display of merchandise or advertising sign other than one
(1) non-illuminated nameplate not more than two
(2) square feet in area attached to the main or accessory building, no mechanical equipment is used such as is customary for purely domestic or household purposes.
HOTEL A building occupied or used as a more or less temporary abiding place of individuals or groups of individuals who are lodged with or without meals and in which there are more than twelve
(12) sleeping rooms and no provisions for cooking in individual rooms.
INSTITUTIONAL USES Those uses organized, established, used or intended to be used for the promotion of a public, religious, educational, charitable, cultural, social or philanthropic activity and normally operated on a non-profit basis."
2,Article II Definitions,Section 405.050 Definitions., ,sub-sec-2.1,https://ecode360.com/27668875,https://zoneomics.com/code/6748/chapter_2#2.1,True,3,"JUNK Old or scrap copper, brass, rope, rags, batteries, paper, trash, rubber debris, waste, or junked, dismantled, or wrecked automobiles, or parts thereof, iron, steel, and other old or scrap ferrous or nonferrous.
JUNKYARD An establishment, area, or place of business maintained, operated, or used for the storing, keeping, buying, or selling of junk or for the operation of an automobile graveyard, garbage dump or sanitary fill.
KENNEL Any lot or premises on which are kept four
(4) or more dogs more than six
(6) months of age.
LODGING HOUSE A residential building where lodging only is provided for compensation to four
(4) or more, but not exceeding twenty
(20) persons and which does not contain more than twelve
(12) sleeping rooms for the accommodation of paying guests.
LOT A parcel of land occupied or intended for occupancy by a use permitted in the zoning ordinance, including one
(1) main building together with its accessory buildings, the open space and parking spaces required by the zoning ordinance and having its principal frontage upon a street or upon an officially approved place.
Each lot shall have a separate parcel number assigned according to the requirements of the City of Sikeston.
LOT DEPTH The mean horizontal distance between the front and rear lot lines.
LOT FRONTAGE A lot shall be deemed to front on that street on which it has its least dimension, unless otherwise specified by the City Engineer.
LOT LINE A line dividing one
(1) lot from another or from a street or any public place, the legal boundary line of a parcel of land.
No person shall build across a lot line without first subdividing the property according to the requirements of the City of Sikeston.
LOT WIDTH The mean horizontal distance between the side lot lines measured at right angles to the depth.
LOT, CORNER A lot abutting upon two
(2) or more streets at their intersection.
LOT, DOUBLE FRONTAGE OR THROUGH A lot having frontage on two
(2) non-intersecting streets as distinguished from a corner lot.
LOT, INTERIOR A lot with frontage on only one
(1) street.
MANUFACTURED HOME, CLASS A A transportable structure intended for permanent occupancy as a residential unit, fabricated in a factory in compliance with Federal Manufactured Home Construction and Safety Standards, adopted June 15, 1976, as amended.
It must carry the HUD seal of approval and comply with minimum standards for tie-down systems published by the Missouri Public Service Commission, and being fifteen
(15) years old or newer at time of permit application for placement or relocation of the manufactured home on an appropriately zoned lot, except as further provided for in this Chapter.
MARIJUANA CULTIVATION FACILITY A facility licensed by the State of Missouri to acquire, cultivate, process, store, transport, and sell marijuana, marijuana seeds, and marijuana vegetative cuttings to a medical, non-medical, or comprehensive marijuana facility as defined by State law, including a marijuana dispensary facility, marijuana testing facility, or marijuana-infused products manufacturing facility.
MARIJUANA DISPENSARY FACILITY A facility licensed by the State of Missouri to acquire, process, package, store, sell, transport, and deliver marijuana, marijuana seeds, marijuana vegetative cuttings, marijuana-infused products and drug paraphernalia used to administer marijuana as provided for in this
Section to a qualifying patient, a primary caregiver, a consumer, or another marijuana dispensary facility, a marijuana testing facility, or a marijuana-infused products manufacturing facility.
MARIJUANA or MARIHUANA Cannabis indica, Cannabis sativa, and Cannabis ruderalis, hybrids of such species, and any other strains commonly understood within the scientific community to constitute marijuana, as well as seed thereof and resin extracted from the plan and marijuana-infused products.
Marijuana does not include industrial hemp containing a crop-wide average tetrahydrocannabinol concentration that does not exceed three-tenths (3/10) of one percent (1%) on a dry weight basis, or commodities or products manufactured from industrial hemp.
MARIJUANA TESTING FACILITY A facility certified by the State of Missouri, to acquire, test, certify, and transport marijuana.
MARIJUANA-INFUSED PRODUCTS Products that are infused, dipped, coated, sprayed, or mixed with marijuana or an extract thereof, including, but not limited to, products that are able to be vaporized or smoked, edible products, ingestible products, topical products, suppositories, and infused prerolls, for legal medical or non-medical use.
MARIJUANA-INFUSED PRODUCTS MANUFACTURING FACILITY A facility licensed by the State of Missouri, to acquire, store, manufacture, transport, and sell marijuana-infused products to a medical, non-medical, or comprehensive marijuana facility as defined by State law, including a marijuana dispensary facility, a marijuana testing facility, or to another marijuana-infused products manufacturing facility.
MICROBUSINESS DISPENSARY FACILITY A facility licensed by the State of Missouri to acquire, process, package, store on-site or off-site, sell, transport to or from, and deliver marijuana, marijuana seeds, marijuana vegetative cuttings, marijuana-infused products and drug paraphernalia used to administer marijuana, to a consumer, qualifying patient, or primary caregiver, as those terms are defined by the State, anywhere on the licensed property or to any address as directed by the consumer, qualifying patient, or primary caregiver and, as otherwise allowed by law, a microbusiness wholesale facility, or a marijuana testing facility.
Microbusiness dispensary facilities may receive transaction orders at the dispensary directly from the consumer in person, by phone, or via the internet, including from a third party.
A microbusiness dispensary facility's authority to process marijuana shall include the creation of prerolls."
2,Article II Definitions,Section 405.050 Definitions., ,sub-sec-2.1,https://ecode360.com/27668875,https://zoneomics.com/code/6748/chapter_2#2.1,True,4,"MICROBUSINESS WHOLESALE FACILITY A facility licensed by the Department to acquire, cultivate, process, package, store on-site or off-site, manufacture, transport to or from, deliver, and sell marijuana, marijuana seeds, marijuana vegetative cuttings, and marijuana- infused products to a microbusiness dispensary facility, other microbusiness wholesale facility, or marijuana testing facility.
A microbusiness wholesale facility may cultivate up to two hundred fifty (250) flowering marijuana plants at any given time.
A microbusiness wholesale facility's authority to process marijuana shall include the creation of prerolls and infused prerolls.
NON-CONFORMING USE, BUILDING OR YARD One
(1) that does not, by reason of design or use conform to the regulations of the district in which it is situated.
OFF-STREET PARKING AREA An area including one
(1) or more parking spaces, but not including any part of a public right-of-way.
OPEN PORCH A roofed space attached to a building on one
(1) side and open on the three
(3) remaining sides.
PARKING SPACE OR STALL A parcel of land or floor space containing a minimum area of one hundred sixty (160) square feet and having additional area adequate for ingress, egress and maneuvering of vehicles.
PERMIT An official document issued by the City of Sikeston which authorizes permission for the construction, alteration, or demolition of any structure.
The building permit application and review process ensures that the plans for construction comply with the City of Sikeston's land use and construction standards.
A permit is required if a person, firm, corporation is erecting, constructing, enlarging, altering, repairing, improving, removing, converting, moving, demolishing any building or structure.
Each new residential or commercial structure shall be required to have its own lot and its own parcel number.
PLATTING EXCEPTIONS Recording of a subdivision plat shall not be required in case of the sale or exchange of parcels or land between owners of adjoining properties for the purpose of adjustments in boundaries, provided that additional lots shall not thereby be created, that the exchange does not create additional building sites, that the original lots shall not be reduced below the minimum sizes required by this
Chapter or the zoning ordinance, that the administrative officer shall have approved such adjustments of boundaries, and that a survey of the adjustments of boundaries is recorded with the Recorder of Deeds of Scott County, Missouri, and New Madrid County, Missouri.
QUALIFYING PATIENT A Missouri resident diagnosed with at least one
(1) qualifying medical condition.
RECREATIONAL VEHICLE All vehicles and portable structures built on a chassis, designed as a temporary or permanent dwelling for travel, recreation and vacation use, including tent trailers, travel trailers and motor-driven vehicles.
RECREATIONAL VEHICLE PARK Any plot of ground on which two
(2) or more recreational vehicles, occupied for dwelling or sleeping purposes, are located, regardless of whether or not a charge is made for such accommodations.
RESUBDIVISION A change in a map of an approved or recorded subdivision plat if such change affects any street layout on such map or area reserved thereon for public use, or any lot line; or if it affects any map or plan legally recorded prior to the adoption of any regulations controlling subdivisions.
SCHOOL Any building which is regularly used as a public, private or parochial elementary and/or secondary school or high school.
SCRAPYARD A place where scrap is collected before being recycled or discarded; a junkyard.
STABLE, PRIVATE A stable with a capacity for not more than two
(2) horses or animals.
STABLE, PUBLIC A stable with a capacity for more than two
(2) horses or animals.
STORY That portion of a building, other than a basement, included between the surface of any floor and the surface of the floor next above it.
STORY, HALF A space under a sloping roof which has the line of intersection of roof decking and wall face not more than three
(3) feet above the top floor level; a half-story containing an independent family unit shall be counted as a full story for the purpose of height regulations.
STREET A public thoroughfare fifty
(50) feet or more in width which affords principal means of access to abutting property.
STREET LINE The dividing line between the street and the abutting property.
STRUCTURAL ALTERATIONS Any change in the supporting members of a building, such as bearing walls and partitions, columns, beams or girders or any substantial change to the roof.
STRUCTURE Anything constructed or erected, the use of which requires more or less permanent location on the ground or which is attached to something having a permanent location on the ground.
TRACT An area or parcel of land which the developers intend to subdivide or improve, or to cause to be subdivided or improved, pursuant to the requirements of this Chapter.
WRECK YARD The location of a dismantling business where decommissioned vehicles are brought, their usable parts are sold for use in operating vehicles, while the unusable metal parts, known as scrap metal parts, are sold to metal-recycling companies.
YARD An open space, other than a court, on the same lot with a building, unoccupied and obstructed by any portion of a building from the ground upward, except as otherwise provided for in this Chapter.
In measuring a yard for the purpose of determining its width or depth, the mean horizontal distance between the respective lot line and building shall be used.
YARD, FRONT A yard extending across the front of a lot between the side lot lines and being the mean horizontal distance between the street line and the building or any projection thereof, other than steps, unenclosed balconies and unenclosed porches.
YARD, REAR A yard extending across the rear of a lot measured between lot lines and being the mean horizontal distance between the rear lot line and the rear of the building or any projection other than steps, unenclosed balconies or unenclosed porches.On corner lots, the rear yard shall be considered as parallel to the street upon which the lot has its least dimension.
On both corner lots and interior lots, the rear yard shall in all cases be at the opposite end of the lot from the front yard.
YARD, SIDE A yard between the building and the side line of the lot and extending from the front line on the building of the rear yard."
3,"Article III Building Permits, Plats and Plans",Section 405.060 through Section 405.090. (Reserved) [1], ,sub-sec-3.1,https://ecode360.com/37510129,https://zoneomics.com/code/6748/chapter_3#3.1,False,0,"Former Sections 400.060, Certificate of Occupancy — Application — Recording of; 400.070, Certificate of Occupancy — Required Before Alteration; 400.080, Certificate of Occupancy — Use Change For Existing Building; and 400.090, Certificate of Occupancy — Required Before Excavation Permit, were repealed
4-26-2021 by Ord.
No.
6220. The title of this
Article was also changed from ""Certificates of Occupancy, Plats and Plans"" to ""Building Permits, Plats and Plans."""
3,"Article III Building Permits, Plats and Plans",Section 405.100 Permit Application - Plats and Plans., ,sub-sec-3.2,https://ecode360.com/27668960,https://zoneomics.com/code/6748/chapter_3#3.2,False,0,"[R.O.
2009
§ 17.04.050; Prior Code § 10-120; Ord.
No.
5865
§ II, 12-5-2011; Ord.
No.
6220, 4-26-2021]
A. Residential Building Permit Application.
All applications for a residential building permit shall be submitted to the office of the Building Inspector and accompanied by a site plan and/or floor plan showing the actual dimensions of the lot to be built upon, the size of the building to be erected with such other information as may be necessary to provide for the enforcement of these regulations.
B. Commercial Building Permit.
1. All applications for a commercial building permit shall be accompanied by a plat, with two
(2) copies submitted as a paper document and a pdf document formatted for large-scale printing.
The plat shall be drawn to scale, showing the actual dimensions of the lot to be built upon, the size of the building to be erected and such other information as may be necessary to provide for the enforcement of these regulations.
Plats shall tie into the State plane coordinates of Scott and/or New Madrid County's geographic information system (GIS).
2. Additionally, a properly sealed set of plans shall be submitted to the office of the Building Inspector on a pdf document along with two
(2) large-scale hard copies for those structures that meet the criteria outlined in
Chapter 327, RSMo., as amended.
C. Yard, Court Or Other Open Space.
No yard, court or other open space provided about any building for the purpose of complying with the provisions of these regulations shall again be used as a yard, court or other open space for another building."
4,Article IV Districts and Boundaries,Section 405.110 Generally., ,sub-sec-4.1,https://ecode360.com/27668967,https://zoneomics.com/code/6748/chapter_4#4.1,False,0,"[R.O.
2009
§ 17.06.010; Ord.
No.
5618
§ II, 9-27-2004; Ord.
No.
6220, 4-26-2021] The following is hereby established to regulate and define the height and bulk of the buildings hereafter erected or structurally altered; to regulate and limit the intensity of the use of lot areas; and to regulate and determine the area of yards, courts and other open spaces within and surrounding such building.
The City is divided into districts of which there shall be fifteen
(15) in number.
Additionally, one
(1) special category are provided that when combined with the provisions of selected districts will provide a mechanism for more creative use of land.
These districts and special categories shall be known as:
|  |  |
| --- | --- |
| ""R-1"" | Single-Family Residential District |
| ""R-2"" | Single-Family Residential District |
| ""R-3"" | Single-Family/Manufactured Home District |
| ""R-4"" | Two-Family Residential District |
| ""R-5"" | Multiple-Family Residential District |
| ""R-6"" | Residential, Planned Manufactured Housing District |
| ""R-7"" | Condominium Residential District |
| ""AG"" | Agricultural/Open District |
| ""TZ"" | Transitional Office District |
| ""O"" | Office District |
| ""C-1"" | Neighborhood Shopping District |
| ""C-2"" | General Commercial District |
| ""C-3"" | Highway Commercial District |
| ""IL"" | Light Industrial District |
| ""IH"" | Heavy Industrial District |
| ""ZLL"" | Zero Lot Line Provision |"
4,Article IV Districts and Boundaries,Section 405.120 Zoning District Map., ,sub-sec-4.2,https://ecode360.com/27668968,https://zoneomics.com/code/6748/chapter_4#4.2,False,0,"[R.O.
2009
§ 17.06.020; Prior Code § 10-103(6); Ord.
No.
6220, 4-26-2021] The boundaries of the districts are shown upon the Zoning District Map on file in the office of the Building Inspector and all notations, references and other information shown thereon are made a part of this
Chapter and shall have the same force and effect as is fully set forth or described in this Chapter."
4,Article IV Districts and Boundaries,Section 405.130 Restrictions., ,sub-sec-4.3,https://ecode360.com/27668969,https://zoneomics.com/code/6748/chapter_4#4.3,False,0,"[R.O.
2009
§ 17.06.030; Prior Code § § 10-103(c), 10-117; Ord.
No.
6220, 4-26-2021]
A. Unless specifically provided for otherwise, the following restrictions shall apply:
1. No building shall be erected, converted, enlarged, reconstructed or structurally altered, nor shall any building or land be used for any purpose other than is permitted in the district in which the building or land is located.
2. No building shall be erected, converted, enlarged, reconstructed or structurally altered except in conformity with the area regulations of the district in which the building is located.
3. The minimum yards and open spaces and included lot area per family requirements required by the
Chapter for each and every building existing at the time of passage of the ordinance codified in this
Article or for any building hereafter erected shall not be encroached upon or considered as yard or open space requirements for any other building.
4. No building or structure for any use for other than public park purposes may be erected, constructed, moved or located on the following described property, nor shall the property be used for any purpose other than as a public park:
a. All of that strip of land known as the Cotton Belt Trail.
b. That parcel of land known as Legion Park and that parcel of land known as Malone Park in the City."
